trivial_baseline_id,trivial_baseline_winner_id,trivial_baseline_winner_score,support_n,symbol
"(-0.000661, 0.0]|(-0.000828, 0.00073]",bollinger_both_close_w020_m25_e05,-0.00012861664881810595,1029,SPY
"(-0.000661, 0.0]|(0.00073, 0.00105]",bollinger_both_close_w030_m20_e00,0.00019858702951214939,664,SPY
"(-0.000661, 0.0]|(0.00105, 0.00148]",bollinger_both_close_w020_m20_e00,0.00020295146850823675,498,SPY
"(-0.000661, 0.0]|(0.00148, 0.00511]",bollinger_both_close_w020_m25_e00,9.86574118811354e-05,322,SPY
"(-0.0046700000000000005, -0.000661]|(-0.000828, 0.00073]",bollinger_both_close_w020_m20_e00,4.89021510000152e-05,235,SPY
"(-0.0046700000000000005, -0.000661]|(0.00073, 0.00105]",bollinger_both_close_w030_m25_e00,0.00011414760727583399,566,SPY
"(-0.0046700000000000005, -0.000661]|(0.00105, 0.00148]",bollinger_both_close_w030_m20_e00,0.0002096519230665531,714,SPY
"(-0.0046700000000000005, -0.000661]|(0.00148, 0.00511]",bollinger_both_close_w020_m25_e00,0.0003093953656102254,980,SPY
"(0.0, 0.000643]|(-0.000828, 0.00073]",bollinger_both_close_w020_m25_e10,-1.407131071145401e-05,1024,SPY
"(0.0, 0.000643]|(0.00073, 0.00105]",bollinger_both_close_w030_m20_e05,0.00017076387302528088,653,SPY
"(0.0, 0.000643]|(0.00105, 0.00148]",bollinger_both_close_w020_m20_e00,0.0001499142070956835,480,SPY
"(0.0, 0.000643]|(0.00148, 0.00511]",bollinger_both_close_w020_m20_e05,4.200310200727156e-05,320,SPY
"(0.000643, 0.00387]|(-0.000828, 0.00073]",bollinger_both_close_w020_m20_e05,0.00019528556624856945,207,SPY
"(0.000643, 0.00387]|(0.00073, 0.00105]",bollinger_both_close_w030_m20_e10,0.00020090279016221624,612,SPY
"(0.000643, 0.00387]|(0.00105, 0.00148]",bollinger_both_close_w030_m25_e10,0.0002100829735908248,803,SPY
"(0.000643, 0.00387]|(0.00148, 0.00511]",bollinger_both_close_w020_m25_e00,0.00011034788081227071,873,SPY
