group,n,symbols,avg_same_day_return,median_same_day_return,avg_fwd_1d,median_fwd_1d,avg_fwd_5d,median_fwd_5d,avg_fwd_20d,median_fwd_20d,avg_dd_5d,median_dd_5d,avg_mfe_5d,median_mfe_5d,hit_fwd_1d,hit_fwd_5d,hit_fwd_20d
all_eligible,5616,18,0.0019308634471454664,0.00028230110614713144,0.0019282034608151411,0.00022322422466691805,0.009850445502314889,0.0028762405656795886,0.03708716484539794,-0.002085508002783565,-0.056953528801009644,-0.036904856480971415,0.07383509371567883,0.039183041373257566,0.5035727045373347,0.5202678248280854,0.4910578386605784
abnormal,1244,18,0.007870866022634645,0.0,0.001977168345082382,0.0,0.017594727094583904,0.005514408542939053,0.06160137381210249,0.00040551500405516805,-0.06351149269601492,-0.04087385482734318,0.0927277064571905,0.0456839483515763,0.49878934624697335,0.5380258899676376,0.5031055900621118
non_abnormal,4372,18,0.0002407071790968532,0.0003178299025111686,0.001914285706374418,0.0002994908655287176,0.007619225910696124,0.0020907093604446425,0.03039607414414435,-0.002826855123674976,-0.05508949639313822,-0.03603603603603611,0.06846506683182176,0.037864359962201055,0.5049323239275063,0.5151515151515151,0.4877694356987164
activity:return_zscore,456,18,0.0201563943304961,0.02147414147767035,-0.0030829317033011063,-0.0017998314224448864,0.008293314944910365,0.0009931856564941999,0.08240263826116989,0.008759660303275685,-0.06499831247474382,-0.04140579632217989,0.07918066187481344,0.04393352125910266,0.45614035087719296,0.5043859649122807,0.5239234449760766
activity:volume_spike,429,18,0.016216511494581105,-0.0009633911368014392,0.0007235865752142198,-0.0016567544604928486,0.016778370073879237,0.00360843819393053,0.07089444025783584,0.006389776357827559,-0.06824647807032624,-0.04568485053200466,0.09651382977340486,0.044158295692037886,0.4825174825174825,0.5245901639344263,0.5218508997429306
activity:sector_relative_move,456,18,0.02174407165783651,0.01618925039368313,-5.720077432102755e-05,0.00100542931831904,0.012600959405489982,0.005013014557023077,0.0746987498399365,0.007476902562148835,-0.06019503227412155,-0.038004750593824244,0.08189835717332479,0.04392875492378834,0.5098901098901099,0.5296703296703297,0.5245901639344263
activity:gap,341,16,0.011830411155140197,-0.0012150668286755595,0.010061073950678075,0.003980093616008706,0.04179852899140296,0.027295285359801413,0.11292826438934567,0.01301218161683293,-0.082199426010701,-0.06182228663702566,0.14610016039927276,0.09898034131891575,0.5267857142857143,0.5940298507462687,0.5243445692883895
activity:false_breakout,173,18,0.007951929593391511,0.002744698747177754,0.0017570214694610261,-0.0008936550491509543,0.024653324151435223,0.006519688830634696,0.06019033960313682,-0.0131490222521915,-0.06598265627164271,-0.03918918918918923,0.10896166465964593,0.03544905008635579,0.48554913294797686,0.5581395348837209,0.4502923976608187
activity:liquidity_sweep_high,173,18,0.007951929593391511,0.002744698747177754,0.0017570214694610261,-0.0008936550491509543,0.024653324151435223,0.006519688830634696,0.06019033960313682,-0.0131490222521915,-0.06598265627164271,-0.03918918918918923,0.10896166465964593,0.03544905008635579,0.48554913294797686,0.5581395348837209,0.4502923976608187
activity:bull_trap,173,18,0.007951929593391511,0.002744698747177754,0.0017570214694610261,-0.0008936550491509543,0.024653324151435223,0.006519688830634696,0.06019033960313682,-0.0131490222521915,-0.06598265627164271,-0.03918918918918923,0.10896166465964593,0.03544905008635579,0.48554913294797686,0.5581395348837209,0.4502923976608187
activity:false_breakdown,128,18,-0.00639100437565961,-0.004183428155875801,-0.0017868728200479923,-0.00044674767691210704,0.007274058622430025,0.00842443231916623,0.015549233349846401,0.0014982640481784326,-0.053792928504575295,-0.03648664370825705,0.06626661965508741,0.03633940920771073,0.4921875,0.546875,0.5081967213114754
activity:liquidity_sweep_low,128,18,-0.00639100437565961,-0.004183428155875801,-0.0017868728200479923,-0.00044674767691210704,0.007274058622430025,0.00842443231916623,0.015549233349846401,0.0014982640481784326,-0.053792928504575295,-0.03648664370825705,0.06626661965508741,0.03633940920771073,0.4921875,0.546875,0.5081967213114754
activity:bear_trap,128,18,-0.00639100437565961,-0.004183428155875801,-0.0017868728200479923,-0.00044674767691210704,0.007274058622430025,0.00842443231916623,0.015549233349846401,0.0014982640481784326,-0.053792928504575295,-0.03648664370825705,0.06626661965508741,0.03633940920771073,0.4921875,0.546875,0.5081967213114754
large_crypto_sensitive:abnormal,69,1,0.013323036644182655,0.0005408146019940663,0.010222461760993583,0.013745019920318624,0.049748688650362326,0.05428778664286127,0.14070857737190795,0.07221670240025113,-0.062034927885756076,-0.04706814517714597,0.1264112444649699,0.09532633312744498,0.5942028985507246,0.6666666666666666,0.5573770491803278
large_crypto_sensitive:non_abnormal,243,1,-8.123321678152865e-05,-0.002731379346569973,0.0007783047985651824,-0.004548182501358244,0.004997240081417738,-0.0011504273149254285,0.011464502958219838,-0.04231584769982499,-0.07784876348201665,-0.06925367513308023,0.08577376124589314,0.06451328405149437,0.4462809917355372,0.4831932773109244,0.41125541125541126
large_energy:abnormal,140,2,-0.0037625390456587425,-0.001055795461782194,-0.0017934350019865747,0.000983699716557096,0.0029332497061856978,0.006920435007532477,0.0010259508581774096,0.006200340695704298,-0.024006065592269366,-0.018071447468500923,0.02407251829340706,0.02316898438277004,0.5428571428571428,0.6071428571428571,0.5234375
large_energy:non_abnormal,484,2,0.0011162194198737867,0.0009328237935958272,0.0005509143444379775,0.0006112945815228699,-0.00046198839111764124,-5.299512363210468e-05,-0.00047657479457826924,0.004318297431081364,-0.022909008622873303,-0.017543752381647904,0.022831416235159448,0.020417259483284766,0.520746887966805,0.5,0.5197368421052632
large_financials:abnormal,61,1,-0.003943652286782808,-0.003613214039917545,1.9776258140797937e-05,0.002538285810982366,0.007670156264205921,0.007363706829730532,0.018987679631274425,0.02071216013111188,-0.027190736131783914,-0.016756403160066324,0.02770463743189301,0.02197131522734197,0.5737704918032787,0.6229508196721312,0.5714285714285714
large_financials:non_abnormal,251,1,0.0024889786817566643,0.0018950437317784008,0.0015463108876820012,0.001651202675128638,0.005817769379966621,0.009885912089450999,0.020949755708012482,0.024589742082449573,-0.02208035991750089,-0.013787278006587245,0.026971807060906624,0.022824521236174622,0.572,0.6341463414634146,0.6059322033898306
large_healthcare:abnormal,130,2,0.0005415337540345801,0.002052783651906309,-0.00011932065154695112,0.00019869883276490974,-0.0007694830324324956,0.0027950900596778183,0.002729965195033877,-0.00434837623309442,-0.033529437055239315,-0.024674016719284264,0.030998452210627102,0.02518088216923675,0.5,0.515625,0.4583333333333333
large_healthcare:non_abnormal,494,2,0.0005384828955567718,0.0001220747725934057,0.0006528694873302592,0.00047726975142869943,0.0022797727743575566,0.0027698917808941514,-0.0017692485129621603,-0.002931002744843647,-0.02837673858268187,-0.022925173426009082,0.03162920445981686,0.02513564168458804,0.5121951219512195,0.5370370370370371,0.47629310344827586
large_semiconductor_ai:abnormal,60,1,-0.003969257391099116,-0.004695687112933333,-0.002056750350262996,-0.0021143976217697924,-0.0021441159390936456,-0.012783133621155851,-0.05959131716261559,-0.06705967699977422,-0.05557461464921075,-0.049368353599058445,0.05118158013584198,0.045385750938188196,0.45,0.43333333333333335,0.25
large_semiconductor_ai:non_abnormal,252,1,-0.0005349124560893266,-0.0015677828882115774,-0.0010605028088634565,-0.0016254876462938883,-0.008294225318452574,-0.008655453919543588,-0.03260304723977446,-0.05350362258989855,-0.05417757113399119,-0.04306040938592115,0.04596286886012093,0.04030501089324612,0.47808764940239046,0.4574898785425101,0.37916666666666665
