symbol,bucket,status,bars,eligible_days,abnormal_days,abnormal_rate
AAPL,mega_technology,ok,333,312,66,0.21153846153846154
MSFT,mega_technology,ok,333,312,70,0.22435897435897437
NVDA,mega_semiconductor_ai,ok,333,312,64,0.20512820512820512
AMD,large_semiconductor_ai,ok,333,312,60,0.19230769230769232
JPM,large_financials,ok,333,312,61,0.1955128205128205
COIN,large_crypto_sensitive,ok,333,312,69,0.22115384615384615
XOM,large_energy,ok,333,312,66,0.21153846153846154
CVX,large_energy,ok,333,312,74,0.23717948717948717
LLY,large_healthcare,ok,333,312,60,0.19230769230769232
PFE,large_healthcare,ok,333,312,70,0.22435897435897437
RKLB,mid_industrial_aerospace,ok,333,312,68,0.21794871794871795
ACHR,small_industrial_aerospace,ok,333,312,89,0.28525641025641024
ASTS,small_communications_satellite,ok,333,312,78,0.25
RCAT,micro_defense_drone,ok,333,312,96,0.3076923076923077
CAVA,mid_consumer_retail,ok,333,312,65,0.20833333333333334
ELF,mid_consumer_retail,ok,333,312,64,0.20512820512820512
VKTX,small_biotech,ok,333,312,70,0.22435897435897437
SAVA,micro_biotech_speculative,ok,333,312,54,0.17307692307692307
