subset,n,event_dates,symbols,mean_event_ret,mean_control_ret,mean_ret_delta,median_ret_delta,mean_abs_delta,mean_path_delta,positive_ret_delta_share,positive_abs_delta_share,corr_cpi_mom_event_ret,corr_core_mom_event_ret,corr_cpi_yoy_event_ret,corr_core_yoy_event_ret
all_h1,1571,131,12,0.0003853007115767361,0.00042484552986675315,-3.954481829001707e-05,0.0006243062229190708,1.4235635851342546e-05,0.0009657512990725017,0.5283259070655634,0.4322087842138765,0.08950643474385996,0.04619926570032852,0.04505037036297481,0.046800985561019914
abnormal_any_h1,528,44,12,0.0009430661030105372,0.001061583066604692,-0.00011851696359415494,0.0005359642032537976,0.00043616543356462406,0.002330744764507301,0.5246212121212122,0.4337121212121212,0.11163943099479257,0.051744580173332624,0.03512143984224631,0.041200073070514605
normal_h1,1043,87,12,0.00010294200910593368,0.00010250859851715419,4.33410588779471e-07,0.0006359893847154197,-0.00019935873921348262,0.000274747895669267,0.5302013422818792,0.4314477468839885,0.04431387243727572,0.016762579835764926,0.04608242618662068,0.035693892965790106
abnormal_cpi_mom_h1,216,18,12,-0.002449341682057452,0.002413860906141605,-0.004863202588199058,-0.002405953243807937,-0.0017485542713554013,0.0002865841780073739,0.4166666666666667,0.38425925925925924,0.1645615670753354,0.10084668815222086,-0.07889245378727668,-0.08499868140565772
abnormal_core_mom_h1,216,18,12,-0.0040543129942891155,0.0024723203669180637,-0.006526633361207179,-0.0043530510590930535,-0.00015641688508230347,0.0018486632599893547,0.39351851851851855,0.4675925925925926,0.2113979314696604,0.28638990742443143,0.15888478719926952,0.16766214764818432
abnormal_cpi_yoy_h1,324,27,12,-0.0006044351494794938,0.0009617517477611223,-0.001566186897240616,-0.0009893478679213954,0.0026284744195647063,0.004894718410082553,0.48148148148148145,0.49691358024691357,0.13079705415826362,0.056891764003849134,0.1265681031253654,0.14307889521928363
abnormal_core_yoy_h1,408,34,12,0.0011454945677459292,0.0008156926186989365,0.0003298019490469926,0.0009179543495083501,0.001966695767550752,0.0040544218360760885,0.5269607843137255,0.48284313725490197,0.0928257836927294,0.01381662420222034,0.02764568049222687,0.04036348286139291
all_h5,1558,130,12,0.0008786382621901647,0.002617458902338313,-0.0017388206401481483,0.0004741667450356932,-0.001686015406527984,-0.002402362299268225,0.5077021822849808,0.4326059050064185,-0.05653406776040307,-0.08915254273955214,-0.09444832520509572,-0.08040194539393054
abnormal_any_h5,528,44,12,-0.0012744875899975022,0.004983463955414357,-0.006257951545411859,-0.0021090837046052035,0.0003459263188955178,0.00036960558867184153,0.4602272727272727,0.4772727272727273,-0.04623866911178508,-0.10364448573317118,-0.09520571625911996,-0.11258281595569589
normal_h5,1030,86,12,0.0019823765631174347,0.0014045941761012732,0.0005777823870161615,0.0016553883703625007,-0.0027276321356771186,-0.003823332245707405,0.5320388349514563,0.4097087378640777,-0.03947794378888889,-0.033842516700235005,-0.06603140565448726,0.00841203819835443
abnormal_cpi_mom_h5,216,18,12,-0.0027344835930518175,0.009112802963874024,-0.011847286556925843,-0.0042276285892327795,-0.001527627529329196,-0.0009433673695461398,0.4166666666666667,0.4305555555555556,-0.11789599458040739,-0.20356611396348054,-0.22257629100216406,-0.22737325346028608
abnormal_core_mom_h5,216,18,12,-0.006330429787737153,0.008882484992642645,-0.015212914780379796,-0.006304535716998088,-0.0039520816888722835,-0.0003117531448614461,0.37962962962962965,0.3888888888888889,-0.13672054670434208,-0.06938180917510901,-0.12447412959748227,-0.12409419466856467
abnormal_cpi_yoy_h5,324,27,12,-0.0031720412350849355,0.004176388429158594,-0.007348429664243529,-0.004607054790824506,0.004294595904031055,0.005801934797354449,0.43209876543209874,0.5370370370370371,-0.03822115652344741,-0.06980876202828194,0.013981254353130449,0.0014690995812612928
