symbol,horizon,n,mean_ret_delta,mean_abs_delta,mean_path_delta,corr_cpi_yoy_ret,corr_cpi_mom_ret,corr_core_yoy_ret,corr_core_mom_ret
TLT,1,130,1.1734141489842124e-05,0.0010547434589031285,0.0027371680092560164,-0.020996344773721316,-0.11963134449173572,-0.06198004306709529,-0.22309263361031548
TLT,5,128,-0.001539429052185539,-0.0013654487017586057,-0.0024237283902163805,-0.19706924552966743,-0.2592407808933111,-0.19787882830475353,-0.2135522802944603
TLT,10,129,0.0033423473212851294,-0.002017852926573019,-0.003679240527106796,-0.15902738024311144,-0.09825858329226643,-0.14412683657757502,-0.07606197781983126
HYG,1,131,0.00044634860443655826,0.0005167519763045262,0.0009150987985067462,0.002564692307276503,0.011612570006552622,0.020605431334449576,-0.04952590681740656
HYG,5,130,0.0006130628023193547,-0.0005044627392948407,-0.0009730129639757127,-0.2048753277257121,-0.07668311162111689,-0.16947641014769124,-0.1604715146709015
HYG,10,130,0.0007783523380671407,7.303873183969441e-05,-0.0017970258490158486,-0.14636038135403856,0.020900750277986983,-0.10776584956648548,-0.08857779454053959
XLF,1,131,-0.002024700603778256,0.0010555747256276822,0.0023940131792761434,0.0869118508451236,0.11844603734090993,0.11459424959237623,0.1374741557084587
XLF,5,130,-0.0030404625737888947,0.0008067261961451628,-0.0001767411638592535,-0.013653783294327603,0.0003799658178946586,-0.0021558010616284764,-0.06395978752024144
XLF,10,130,-0.006501341961221945,-0.0002417791653142895,-0.0008399132174024699,-0.05209772571292377,-0.03178175558983464,-0.02532654350608948,-0.08445450689251313
XLK,1,131,0.0020478042956875286,0.00048501293630367505,0.0013099267703657747,-0.010275218457719193,0.03323295615535247,0.02650411539082753,-0.004757992086551042
XLK,5,130,0.002983313830051119,-0.0008684191853540668,-0.0030987513947530417,-0.14056495018046106,-0.013775888596342618,-0.11699420743356809,-0.12421671155579658
XLK,10,130,-0.0030515348798738785,-0.00277162685815807,-0.002627368548573919,-0.1331121855178054,0.017885336221606,-0.09897271527329148,-0.02787756937139106
XLE,1,131,0.0004081343977999323,-0.0014435595008209074,-0.0005051788774602106,0.13173932410296507,0.18022515804545713,0.11151373236432044,0.14483883594788982
XLE,5,130,-0.006137027128145842,-0.004610168553175296,-0.0040740541823958785,-0.05807473495357841,-0.04482418797135014,-0.045709235398088285,-0.0779436694246531
XLE,10,130,-0.00893048012560322,-0.004131000112579293,-0.004603218278664388,-0.03012737851741395,-0.08458830595934351,-0.0014634077385680692,-0.11592945820687833
XOP,1,131,-0.0007436339999816844,-0.002743819692325563,-0.00047640800672010846,0.07815043542710068,0.1071282294082326,0.06551723726122109,0.0854790587549844
XOP,5,130,-0.01086723929558213,-0.012643229142848886,-0.012704361857257918,-0.12163331186997009,-0.08659959586980483,-0.09238002094581305,-0.08358942598174464
XOP,10,130,-0.01932965900301496,-0.020168214353264182,-0.019209525228052266,-0.09022036861495576,-0.1454010522288977,-0.05155729535271768,-0.13549937168886197
XLI,1,131,-0.001157885582176978,0.0002834405023194311,0.0011039649409699374,0.03701661859803576,0.10556162754437898,0.05057681245194689,0.09197176510075437
XLI,5,130,-0.0016597826250795069,-0.000657795659513765,-0.0014989773795846535,-0.10924017364279577,-0.07538052960162367,-0.092160903553993,-0.12177468616427521
XLI,10,130,-0.007524849268217899,-0.0007944753081119687,-0.0006256540417383001,-0.12473646330112549,-0.06884148959007734,-0.0861029955155066,-0.12600479852126578
XLP,1,131,-0.0011411173393619215,0.0004010965109635058,0.0003084246705540506,0.05456977632876434,0.1576326048519019,0.027807573620811973,0.06191412779496025
XLP,5,130,-0.001067167199256703,-0.0001157785381174239,-0.0002973754712981931,-0.015146242371345863,-0.0071832013793893396,-0.012216925475332607,-0.018736966627474632
XLP,10,130,-0.005261878263119619,0.001752798773432654,0.0008085241047700959,0.029487172752837125,0.11088156851882892,0.05560514291073675,0.03218746828456647
XLV,1,131,0.000278898645344011,-0.0001745901559013116,0.00032704537150876015,-0.04560091735365481,0.08254017436425345,-0.07214593005343801,0.05488337511381975
XLV,5,130,-0.000562936121910213,0.0012131714860372166,-0.00012873423038153186,-0.11568293024870342,-0.0780246020118305,-0.12489073831197245,-0.07742632671674615
XLV,10,130,-0.0050215541823763294,0.002775394039488915,-7.720220189280062e-05,-0.017242614338728708,0.02693801634772251,-0.018831680775960705,0.02046900296557888
XLU,1,131,0.00043203989440927895,0.00075607096283141,0.0008108492937890606,0.09565519420125179,0.16108983909164099,0.09480886611959691,0.07370965216465665
XLU,5,130,-0.0002904645686439423,-0.0004923225809834756,-0.0002538866554023932,-0.1167505373571989,-0.03461566493022003,-0.11683497027708513,-0.04871484657583322
XLU,10,130,-0.00412617808283386,0.0007121272381296616,0.0009367029837297614,-0.07260541288324028,0.03211690590791372,-0.038659964030378524,0.005874591616922976
