subset,n,release_dates,symbols,mean_ret_delta,median_ret_delta,positive_ret_delta_share,mean_abs_delta,positive_abs_delta_share,mean_path_delta,corr_cpi_mom_surprise_ret,corr_core_mom_surprise_ret,corr_cpi_yoy_surprise_ret,corr_core_yoy_surprise_ret
all_h1,1211,101,12,-0.000447723998897744,0.0005297294204455057,0.5202312138728323,0.00022428184012638152,0.4384805945499587,0.001574570514365011,-0.1496014627603664,-0.10804209657662076,-0.2133822814443439,-0.07913071679141784
large_surprise_0_1pp_h1,1139,95,12,-0.0003441434822299906,0.0007208459263664284,0.5294117647058824,0.00037644297162041357,0.4442493415276558,0.0018855223331908802,-0.15228236189867322,-0.10980865349014841,-0.21748226278153174,-0.08080902572418329
not_large_surprise_0_1pp_h1,72,6,12,-0.0020863102278501217,-0.0028701716655458757,0.375,-0.0021828227261472643,0.3472222222222222,-0.003344514508449781,,,0.052731162526642505,
large_surprise_0_2pp_h1,396,33,12,-0.0038905238244364387,-0.002983027547740216,0.40404040404040403,0.001488352573286246,0.49747474747474746,0.00464557910991581,-0.18673146739992202,-0.12658194155418928,-0.24227791160612275,-0.07769746713209844
hotter_surprise_h1,564,47,12,-0.0012248138607408327,-0.00023237581453152485,0.48936170212765956,-7.126264073697893e-05,0.43439716312056736,0.0018080543510563337,-0.14824617754719846,-0.1662421235579018,-0.3121240226307168,-0.17210801332760728
cooler_surprise_h1,575,48,12,0.0005993204353788023,0.0017349259161679679,0.5721739130434783,0.0007043513463688236,0.4469565217391304,0.0018558455945890911,-0.1418934273843775,0.04737104406762333,-0.1342422043208671,0.16587694519547158
all_h5,1198,100,12,-0.0028842546138956138,-0.0002747159422522847,0.49165275459098495,-0.001325688092202745,0.44323873121869783,-0.001973756471993819,-0.09520509541279323,-0.13679299759006983,-0.18737218914224774,-0.11165109626807271
large_surprise_0_1pp_h5,1126,94,12,-0.0025686785637238055,0.0001872650113687545,0.5035523978685613,-0.0011329353436546324,0.44849023090586143,-0.0016044787426763862,-0.09762052843877234,-0.13930730295519156,-0.1922960552009498,-0.11430134266954903
not_large_surprise_0_1pp_h5,72,6,12,-0.007819513398526951,-0.0069701179512797525,0.3055555555555556,-0.004340126909774617,0.3611111111111111,-0.007748849849930341,,,0.11809116656041067,
large_surprise_0_2pp_h5,395,33,12,-0.0044868265921730955,-0.001969186814559477,0.4582278481012658,-0.0015519367516032697,0.43037974683544306,-0.0002906391350926396,-0.19818169516293282,-0.17523897496086227,-0.2592749384102818,-0.14437778748683935
hotter_surprise_h5,552,46,12,-0.004923721044197163,-0.0004782468985707127,0.48188405797101447,-0.0002076759118972534,0.4365942028985507,-4.0722217061395944e-05,-0.027034207034774285,-0.04924381268673715,-0.1774409411851532,-0.05723217619646213
cooler_surprise_h5,574,48,12,-0.00024003698133550844,0.0010713973380153568,0.5261324041811847,-0.002401041763117699,0.4547038327526132,-0.0035000241548517976,-0.09058928400719454,-0.21859568101755386,-0.15168172334646782,-0.07013562541408036
all_h10,1199,100,12,-0.007572465371052987,-0.002706166998417355,0.45871559633027525,-0.0025598826583280746,0.44286905754795663,-0.0031067429739852687,-0.029547623366851624,-0.1331920898474194,-0.15628719202553784,-0.09653101314492188
large_surprise_0_1pp_h10,1127,94,12,-0.00693936794178513,-0.0017169869714435833,0.4720496894409938,-0.002682302066491662,0.4445430346051464,-0.0034078168170911453,-0.03157024423976884,-0.1370383858368924,-0.15728105605501885,-0.1001598925532735
not_large_surprise_0_1pp_h10,72,6,12,-0.01748219874306514,-0.015868362494746505,0.25,-0.0006436788666563646,0.4166666666666667,0.0016058989868525462,,,-0.27182080250376794,
large_surprise_0_2pp_h10,396,33,12,-0.005783331310218553,-0.00011022717706063185,0.49747474747474746,-0.002720964505872437,0.4166666666666667,-0.0014454812584393352,-0.1554848351488244,-0.20235922680568402,-0.2100071839387087,-0.12820721832862814
hotter_surprise_h10,552,46,12,-0.01074957617263462,-0.0014328771901634101,0.4746376811594203,-0.00022118482986109887,0.4945652173913043,-0.0004448846164936993,0.1016843881095992,-0.026293090785335635,-0.09700341552593521,0.021642107867394594
cooler_surprise_h10,575,48,12,-0.004410312820818915,-0.0028301861587725023,0.4608695652173913,-0.0048630279483892255,0.39652173913043476,-0.006301005823230519,-0.06151686668614541,-0.215363314844824,-0.15023703505482583,-0.162651353457715
large_surprise_0_1pp_TLT_h1,94,94,1,0.00012988292431541262,0.0011193643314910155,0.5531914893617021,0.0013798553555849043,0.5,0.0038136299934546656,-0.2249159552273803,-0.2616675157866092,-0.27909971230076996,-0.31369917930141306
large_surprise_0_1pp_HYG_h1,95,95,1,0.0004953040674597907,0.0010294311125672937,0.5894736842105263,0.0008719162490332095,0.49473684210526314,0.0013102298797765901,-0.2891271799766719,-0.24194837654676427,-0.3640526664275591,-0.25120760840183987
large_surprise_0_1pp_XLF_h1,95,95,1,-0.0029060528438113985,-0.0016783884647901008,0.4421052631578947,0.0019662402525934455,0.5157894736842106,0.003974889794046103,-0.161228816504224,-0.08746449248057594,-0.2167983311614197,-0.05241344395240248
large_surprise_0_1pp_XLK_h1,95,95,1,0.0022018727978689646,0.002819602273222305,0.6526315789473685,0.0011240374702736196,0.47368421052631576,0.0026066438422135637,-0.2662621695426522,-0.2031922211685248,-0.34936632506690407,-0.21248776281041365
large_surprise_0_1pp_XLE_h1,95,95,1,5.740520641255333e-05,0.0030980576259279535,0.5789473684210527,-0.0017129955378654947,0.3157894736842105,-6.489744666044806e-05,-0.013642009971314232,0.0191641788601304,-0.019965259187232617,0.15680060003503857
large_surprise_0_1pp_XOP_h1,95,95,1,-0.0016678529844732734,0.0024413546679239754,0.5578947368421052,-0.002929037020535415,0.3684210526315789,0.00046442490155438953,-0.05281317109409019,-0.03600615019083873,-0.07646003115850045,0.050669607741615316
large_surprise_0_1pp_XLI_h1,95,95,1,-0.0016036195509381334,-0.0008377578180794321,0.47368421052631576,0.0010344321897224062,0.4842105263157895,0.0023145449089637085,-0.22867730510621825,-0.1386327486769673,-0.3074890451334652,-0.10200876909518915
large_surprise_0_1pp_XLP_h1,95,95,1,-0.0012514592380162613,-0.0010766513350714394,0.45263157894736844,0.0004914831699227069,0.45263157894736844,0.0008245891889853296,-0.0337935977732516,-0.06617519046747986,-0.12337155479467114,-0.054691340565029486
large_surprise_0_1pp_XLV_h1,95,95,1,-0.00020044712910731417,-0.0009257858767385023,0.4631578947368421,0.0003881856598855941,0.3894736842105263,0.0011401171815146815,-0.03393615384881911,0.06172890577602629,-0.1312565067459778,0.06561018684395106
large_surprise_0_1pp_XLU_h1,95,95,1,0.0005965225692746384,3.789176332866999e-05,0.5052631578947369,0.0008923082159932799,0.43157894736842106,0.0012962995388754181,-0.1903814534209302,-0.12796320301015632,-0.28315478998373456,-0.1279023401926881
large_surprise_0_1pp_XLB_h1,95,95,1,0.00021931488013067306,0.0011095061350812718,0.5157894736842106,0.0008244073860326373,0.5052631578947369,0.002029564589144313,-0.20825287785426372,-0.14608413106830598,-0.33215897477005707,-0.12682700332926555
large_surprise_0_1pp_XLY_h1,95,95,1,-0.00019560273422769217,0.001506001634171371,0.5684210526315789,0.0001970445044247484,0.4,0.0029365274965302878,-0.263612222688716,-0.22084758828434123,-0.34892740849251236,-0.21363775391466036
large_surprise_0_1pp_TLT_h5,92,92,1,-0.0023831074388889393,-0.001849555905331899,0.45652173913043476,-0.0006019310743072594,0.3804347826086957,-0.001462641405341536,-0.18630956275718746,-0.1401012578712893,-0.24405963649121337,-0.231646397973515
large_surprise_0_1pp_HYG_h5,94,94,1,-0.0002637010218275535,0.0004337859296546383,0.5106382978723404,-0.0004030783069480208,0.39361702127659576,-0.0006174189931620708,-0.09865253463067264,-0.15226963242689562,-0.2532070536318479,-0.1716029326739772
large_surprise_0_1pp_XLF_h5,94,94,1,-0.002392077718133764,-1.147815648419332e-05,0.5,0.0009017741152634524,0.48936170212765956,0.0008131462141141316,-0.12228396100592377,-0.19203805720064865,-0.24825570846093253,-0.13306954064433152
large_surprise_0_1pp_XLK_h5,94,94,1,0.003597074791367132,0.0036406076265765534,0.5425531914893617,0.0003200677543908483,0.44680851063829785,-0.0021181247064043286,-0.12218718404544382,-0.17564943561398574,-0.2633668025721895,-0.16476309455283733
large_surprise_0_1pp_XLE_h5,94,94,1,-0.008010680988382915,-0.005577326236527228,0.425531914893617,-0.004102509555102029,0.40425531914893614,-0.0031447620584678935,-0.08922873945838214,-0.16624058685371507,-0.17595247601776567,-0.14528459665626334
large_surprise_0_1pp_XOP_h5,94,94,1,-0.016339884357719724,-0.004643437425111793,0.4574468085106383,-0.01445363093257299,0.425531914893617,-0.013405939752839114,-0.1220887294601242,-0.17836569577573916,-0.17112183115837326,-0.13445771864362235
