event_date,event_id,event_name,expectation_baseline_status,guidance_interpretation_status,lifecycle_class,local_document_text_length,local_document_text_path_status,local_document_text_sha256,local_sec_filing_document_status,official_guidance_artifact_status,provider_calls_performed_by_study,result_accession_number,result_filing_date,result_form,result_primary_document,sec_result_filing_reference_status,signed_direction_readiness,symbol
2025-10-14,cal_04c87c2e8355,JPM earnings release (J P Morgan Chase & Co),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0001628280-25-044845,2025-10-14,8-K,jpm-20251014.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,JPM
2025-10-22,cal_624828d686c6,"TSLA earnings release (Tesla, Inc.)",missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0001628280-25-045968,2025-10-23,10-Q,tsla-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,TSLA
2025-10-29,cal_f6db2fe06339,MSFT earnings release (Microsoft Corporation),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0001193125-25-256321,2025-10-29,10-Q,msft-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,MSFT
2025-10-30,cal_15791d9ff7af,AAPL earnings release (Apple Inc.),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0000320193-25-000079,2025-10-31,10-K,aapl-20250927.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,AAPL
2025-10-30,cal_4af090722fde,"COIN earnings release (Coinbase Global, Inc.)",missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0001679788-25-000208,2025-10-30,10-Q,coin-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,COIN
2025-10-30,cal_2389e42d2118,LLY earnings release (Eli Lilly and Company),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0000059478-25-000254,2025-10-30,10-Q,lly-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,LLY
2025-10-31,cal_8e082a589731,CVX earnings release (Chevron Corporation),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0000093410-25-000108,2025-11-06,10-Q,cvx-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,CVX
2025-10-31,cal_4bfaea404058,XOM earnings release (Exxon Mobil Corporation),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0000034088-25-000061,2025-11-03,10-Q,xom-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,XOM
2025-11-04,cal_ed32ae7b473a,"AMD earnings release (Advanced Micro Devices, Inc.)",missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0000002488-25-000166,2025-11-05,10-Q,amd-20250927.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,AMD
2025-11-04,cal_ace2cf7d166d,"PFE earnings release (Pfizer, Inc.)",missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0000078003-25-000150,2025-11-04,10-Q,pfe-20250928.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,PFE
2025-11-10,cal_f7ad7203a325,RKLB earnings release (Rocket Lab Corporation),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0001819994-25-000021,2025-11-10,10-Q,rklb-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,RKLB
2025-11-19,cal_db9932651a59,NVDA earnings release (NVIDIA Corporation),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,,missing,,missing,missing_local_official_document_text_artifact,0,0001045810-25-000230,2025-11-19,10-Q,nvda-20251026.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,NVDA
