event_date,event_id,event_name,expectation_baseline_status,guidance_interpretation_status,lifecycle_class,local_document_text_length,local_document_text_path_status,local_document_text_sha256,local_sec_filing_document_status,official_guidance_artifact_status,provider_calls_performed_by_study,result_accession_number,result_filing_date,result_form,result_primary_document,sec_result_filing_reference_status,signed_direction_readiness,symbol
2025-10-14,cal_04c87c2e8355,JPM earnings release (J P Morgan Chase & Co),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,46260,present,69ad68bfd35db4b41b2d501e32d38b3172fbd8e8c61ebbec20a2fca51c5af6c1,present,official_document_text_present_uninterpreted,0,0001628280-25-044845,2025-10-14,8-K,jpm-20251014.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,JPM
2025-10-22,cal_624828d686c6,"TSLA earnings release (Tesla, Inc.)",missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,1573631,present,2e09ef916548c0e2b1fde8f5109a9affd1f652535382ba686aa3920eef38332b,present,official_document_text_present_uninterpreted,0,0001628280-25-045968,2025-10-23,10-Q,tsla-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,TSLA
2025-10-29,cal_f6db2fe06339,MSFT earnings release (Microsoft Corporation),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,5000000,present,3814e8107ae88115efab340b55d1551da7155c923c064ea9354e3c892d6d0e31,present,official_document_text_present_uninterpreted,0,0001193125-25-256321,2025-10-29,10-Q,msft-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,MSFT
2025-10-30,cal_15791d9ff7af,AAPL earnings release (Apple Inc.),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,1520208,present,548ae59778cf08ee0f2ee088e7ece20d947076c3c01f74d2d65db4c2777e436a,present,official_document_text_present_uninterpreted,0,0000320193-25-000079,2025-10-31,10-K,aapl-20250927.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,AAPL
2025-10-30,cal_4af090722fde,"COIN earnings release (Coinbase Global, Inc.)",missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,2433467,present,bf8d368e9031c2e7b547bb85cb84e12e43288aab8e794ee1ddf56e6f7a359bad,present,official_document_text_present_uninterpreted,0,0001679788-25-000208,2025-10-30,10-Q,coin-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,COIN
2025-10-30,cal_2389e42d2118,LLY earnings release (Eli Lilly and Company),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,1778610,present,057058ccb4e0066c3fb854a51ae2d11908fcb900d7fcbc3cf4e22284eb0ab5d3,present,official_document_text_present_uninterpreted,0,0000059478-25-000254,2025-10-30,10-Q,lly-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,LLY
2025-10-31,cal_8e082a589731,CVX earnings release (Chevron Corporation),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,2154794,present,61574018060f60eb9ca523c3215adfd1060098230f2c2e10562b2d7710d05759,present,official_document_text_present_uninterpreted,0,0000093410-25-000108,2025-11-06,10-Q,cvx-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,CVX
2025-10-31,cal_4bfaea404058,XOM earnings release (Exxon Mobil Corporation),missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,1973660,present,e734b8c410540a36508d2781bbd6b8e6b4b4ee634e2ec26574ff8db85d9e59a1,present,official_document_text_present_uninterpreted,0,0000034088-25-000061,2025-11-03,10-Q,xom-20250930.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,XOM
2025-11-04,cal_ed32ae7b473a,"AMD earnings release (Advanced Micro Devices, Inc.)",missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,1378071,present,8ba76e28395ab83bbbcabf0fb3d562ca1fd65703f2e951bf17b12be434b530e4,present,official_document_text_present_uninterpreted,0,0000002488-25-000166,2025-11-05,10-Q,amd-20250927.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,AMD
2025-11-04,cal_ace2cf7d166d,"PFE earnings release (Pfizer, Inc.)",missing_consensus_or_accepted_expectation_baseline,missing_official_company_guidance_interpretation,scheduled_known_outcome_later,2892178,present,ffb69259ee9e76dbd4431eacdb907f85960bf0149a3f66ddc4101fe7e11df948,present,official_document_text_present_uninterpreted,0,0000078003-25-000150,2025-11-04,10-Q,pfe-20250928.htm,present,blocked_missing_guidance_interpretation_or_expectation_baseline,PFE
