baseline_candidate_type,calendar_fetched_at_utc,calendar_match_status,calendar_source_url,eps_actual_present,eps_forecast_present,eps_forecast_value_present_only,event_date,event_id,no_of_estimates_present,pit_acceptance_status,pit_rejection_reason,provider_calls_performed_by_study,revenue_forecast_present,saved_calendar_path,surprise_present,symbol
eps_consensus_candidate_contaminated_by_actual_or_surprise_fields,2026-05-15T15:24:12Z,matched_calendar_row,https://api.nasdaq.com/api/calendar/earnings?date=2025-10-14,True,True,True,2025-10-14,cal_04c87c2e8355,True,rejected_post_event_or_same_day_calendar_snapshot,calendar snapshot was captured on/after event date and may include actual/surprise fields,0,False,storage/earnings_guidance_event_alone_q4_2025_20260515/input_artifacts/calendar/2025-10-14/runs/calendar_2025-10-14/saved/release_calendar.csv,True,JPM
eps_consensus_candidate_contaminated_by_actual_or_surprise_fields,2026-05-15T15:24:41Z,matched_calendar_row,https://api.nasdaq.com/api/calendar/earnings?date=2025-10-22,True,True,True,2025-10-22,cal_624828d686c6,True,rejected_post_event_or_same_day_calendar_snapshot,calendar snapshot was captured on/after event date and may include actual/surprise fields,0,False,storage/earnings_guidance_event_alone_q4_2025_20260515/input_artifacts/calendar/2025-10-22/runs/calendar_2025-10-22/saved/release_calendar.csv,True,TSLA
eps_consensus_candidate_contaminated_by_actual_or_surprise_fields,2026-05-15T15:24:44Z,matched_calendar_row,https://api.nasdaq.com/api/calendar/earnings?date=2025-10-29,True,True,True,2025-10-29,cal_f6db2fe06339,True,rejected_post_event_or_same_day_calendar_snapshot,calendar snapshot was captured on/after event date and may include actual/surprise fields,0,False,storage/earnings_guidance_event_alone_q4_2025_20260515/input_artifacts/calendar/2025-10-29/runs/calendar_2025-10-29/saved/release_calendar.csv,True,MSFT
eps_consensus_candidate_contaminated_by_actual_or_surprise_fields,2026-05-15T15:24:44Z,matched_calendar_row,https://api.nasdaq.com/api/calendar/earnings?date=2025-10-30,True,True,True,2025-10-30,cal_15791d9ff7af,True,rejected_post_event_or_same_day_calendar_snapshot,calendar snapshot was captured on/after event date and may include actual/surprise fields,0,False,storage/earnings_guidance_event_alone_q4_2025_20260515/input_artifacts/calendar/2025-10-30/runs/calendar_2025-10-30/saved/release_calendar.csv,True,AAPL
eps_consensus_candidate_contaminated_by_actual_or_surprise_fields,2026-05-15T15:24:44Z,matched_calendar_row,https://api.nasdaq.com/api/calendar/earnings?date=2025-10-30,True,True,True,2025-10-30,cal_4af090722fde,True,rejected_post_event_or_same_day_calendar_snapshot,calendar snapshot was captured on/after event date and may include actual/surprise fields,0,False,storage/earnings_guidance_event_alone_q4_2025_20260515/input_artifacts/calendar/2025-10-30/runs/calendar_2025-10-30/saved/release_calendar.csv,True,COIN
eps_consensus_candidate_contaminated_by_actual_or_surprise_fields,2026-05-15T15:24:44Z,matched_calendar_row,https://api.nasdaq.com/api/calendar/earnings?date=2025-10-30,True,True,True,2025-10-30,cal_2389e42d2118,True,rejected_post_event_or_same_day_calendar_snapshot,calendar snapshot was captured on/after event date and may include actual/surprise fields,0,False,storage/earnings_guidance_event_alone_q4_2025_20260515/input_artifacts/calendar/2025-10-30/runs/calendar_2025-10-30/saved/release_calendar.csv,True,LLY
eps_consensus_candidate_contaminated_by_actual_or_surprise_fields,2026-05-15T15:24:45Z,matched_calendar_row,https://api.nasdaq.com/api/calendar/earnings?date=2025-10-31,True,True,True,2025-10-31,cal_8e082a589731,True,rejected_post_event_or_same_day_calendar_snapshot,calendar snapshot was captured on/after event date and may include actual/surprise fields,0,False,storage/earnings_guidance_event_alone_q4_2025_20260515/input_artifacts/calendar/2025-10-31/runs/calendar_2025-10-31/saved/release_calendar.csv,True,CVX
eps_consensus_candidate_contaminated_by_actual_or_surprise_fields,2026-05-15T15:24:45Z,matched_calendar_row,https://api.nasdaq.com/api/calendar/earnings?date=2025-10-31,True,True,True,2025-10-31,cal_4bfaea404058,True,rejected_post_event_or_same_day_calendar_snapshot,calendar snapshot was captured on/after event date and may include actual/surprise fields,0,False,storage/earnings_guidance_event_alone_q4_2025_20260515/input_artifacts/calendar/2025-10-31/runs/calendar_2025-10-31/saved/release_calendar.csv,True,XOM
eps_consensus_candidate_contaminated_by_actual_or_surprise_fields,2026-05-15T15:24:47Z,matched_calendar_row,https://api.nasdaq.com/api/calendar/earnings?date=2025-11-04,True,True,True,2025-11-04,cal_ed32ae7b473a,True,rejected_post_event_or_same_day_calendar_snapshot,calendar snapshot was captured on/after event date and may include actual/surprise fields,0,False,storage/earnings_guidance_event_alone_q4_2025_20260515/input_artifacts/calendar/2025-11-04/runs/calendar_2025-11-04/saved/release_calendar.csv,False,AMD
eps_consensus_candidate_contaminated_by_actual_or_surprise_fields,2026-05-15T15:24:47Z,matched_calendar_row,https://api.nasdaq.com/api/calendar/earnings?date=2025-11-04,True,True,True,2025-11-04,cal_ace2cf7d166d,True,rejected_post_event_or_same_day_calendar_snapshot,calendar snapshot was captured on/after event date and may include actual/surprise fields,0,False,storage/earnings_guidance_event_alone_q4_2025_20260515/input_artifacts/calendar/2025-11-04/runs/calendar_2025-11-04/saved/release_calendar.csv,True,PFE
