accepted_guidance_raise_cut_status,accepted_prior_guidance_span_count,beat_miss_status,current_comparable_guidance_span_count,current_comparable_guidance_status,current_partial_guidance_context_span_count,event_date,event_id,event_risk_governor_readiness,guidance_comparison_readiness,official_result_artifact_status,prior_guidance_baseline_status,provider_calls_performed_by_study,result_metric_count,review_note,signed_direction_readiness,symbol
missing_not_established,0,missing_expectation_baseline,0,blocked_missing_current_comparable_guidance_context,0,2025-10-14,cal_04c87c2e8355,direction_neutral_context_only,blocked_missing_prior_guidance_baseline_context,present,reviewed_no_prior_guidance_context_found,0,0,Prior company-guidance baseline context is missing or rejected.,blocked_missing_prior_guidance_baseline_context,JPM
missing_not_established,0,missing_expectation_baseline,0,blocked_missing_current_comparable_guidance_context,0,2025-10-30,cal_15791d9ff7af,direction_neutral_context_only,blocked_missing_prior_guidance_baseline_context,present,reviewed_no_prior_guidance_context_found,0,3,Prior company-guidance baseline context is missing or rejected.,blocked_missing_prior_guidance_baseline_context,AAPL
missing_not_established,14,missing_expectation_baseline,0,blocked_current_guidance_context_not_comparable,1,2025-10-30,cal_2389e42d2118,direction_neutral_context_only,blocked_missing_current_comparable_guidance_context,present,accepted_prior_company_guidance_context_baseline,0,3,Current official text has no accepted comparable company-guidance context; partial context is not a raise/cut comparison.,blocked_missing_current_guidance_comparison,LLY
missing_not_established,6,missing_expectation_baseline,0,blocked_current_guidance_context_not_comparable,1,2025-10-30,cal_4af090722fde,direction_neutral_context_only,blocked_missing_current_comparable_guidance_context,present,accepted_prior_company_guidance_context_baseline,0,3,Current official text has no accepted comparable company-guidance context; partial context is not a raise/cut comparison.,blocked_missing_current_guidance_comparison,COIN
missing_not_established,1,missing_expectation_baseline,0,blocked_current_guidance_context_not_comparable,1,2025-10-31,cal_4bfaea404058,direction_neutral_context_only,blocked_missing_current_comparable_guidance_context,present,accepted_prior_company_guidance_context_baseline,0,3,Current official text has no accepted comparable company-guidance context; partial context is not a raise/cut comparison.,blocked_missing_current_guidance_comparison,XOM
missing_not_established,0,missing_expectation_baseline,0,blocked_current_guidance_context_not_comparable,1,2025-10-22,cal_624828d686c6,direction_neutral_context_only,blocked_missing_prior_guidance_baseline_context,present,reviewed_no_prior_guidance_context_found,0,3,Prior company-guidance baseline context is missing or rejected.,blocked_missing_prior_guidance_baseline_context,TSLA
missing_not_established,0,missing_expectation_baseline,0,blocked_current_guidance_context_not_comparable,1,2025-10-31,cal_8e082a589731,direction_neutral_context_only,blocked_missing_prior_guidance_baseline_context,present,reviewed_no_prior_guidance_context_found,0,3,Prior company-guidance baseline context is missing or rejected.,blocked_missing_prior_guidance_baseline_context,CVX
missing_not_established,13,missing_expectation_baseline,0,blocked_current_guidance_context_not_comparable,3,2025-11-04,cal_ace2cf7d166d,direction_neutral_context_only,blocked_missing_current_comparable_guidance_context,present,accepted_prior_company_guidance_context_baseline,0,3,Current official text has no accepted comparable company-guidance context; partial context is not a raise/cut comparison.,blocked_missing_current_guidance_comparison,PFE
missing_not_established,1,missing_expectation_baseline,0,blocked_current_guidance_context_not_comparable,2,2025-11-19,cal_db9932651a59,direction_neutral_context_only,blocked_missing_current_comparable_guidance_context,present,accepted_prior_company_guidance_context_baseline,0,3,Current official text has no accepted comparable company-guidance context; partial context is not a raise/cut comparison.,blocked_missing_current_guidance_comparison,NVDA
missing_not_established,5,missing_expectation_baseline,0,blocked_current_guidance_context_not_comparable,2,2025-11-04,cal_ed32ae7b473a,direction_neutral_context_only,blocked_missing_current_comparable_guidance_context,present,accepted_prior_company_guidance_context_baseline,0,3,Current official text has no accepted comparable company-guidance context; partial context is not a raise/cut comparison.,blocked_missing_current_guidance_comparison,AMD
missing_not_established,0,missing_expectation_baseline,0,blocked_missing_current_comparable_guidance_context,0,2025-10-29,cal_f6db2fe06339,direction_neutral_context_only,blocked_missing_prior_guidance_baseline_context,present,reviewed_no_prior_guidance_context_found,0,3,Prior company-guidance baseline context is missing or rejected.,blocked_missing_prior_guidance_baseline_context,MSFT
missing_not_established,2,missing_expectation_baseline,0,blocked_current_guidance_context_not_comparable,1,2025-11-10,cal_f7ad7203a325,direction_neutral_context_only,blocked_missing_current_comparable_guidance_context,present,accepted_prior_company_guidance_context_baseline,0,3,Current official text has no accepted comparable company-guidance context; partial context is not a raise/cut comparison.,blocked_missing_current_guidance_comparison,RKLB
