event_id,calendar_source,event_name,release_time,event_date,timezone,source_url,raw_summary
cal_d54fddf47f97,nasdaq_earnings_calendar,"AAL earnings release (American Airlines Group, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""($0.40)"", ""epsForecast"": ""($0.45)"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$8,399,591,240"", ""name"": ""American Airlines Group, Inc."", ""noOfEsts"": ""7"", ""surprise"": ""11.11"", ""symbol"": ""AAL"", ""time"": ""time-not-supplied""}"
cal_eac85665a46d,nasdaq_earnings_calendar,ABCB earnings release (Ameris Bancorp),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.63"", ""epsForecast"": ""$1.54"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$5,630,363,726"", ""name"": ""Ameris Bancorp"", ""noOfEsts"": ""5"", ""surprise"": ""5.84"", ""symbol"": ""ABCB"", ""time"": ""time-not-supplied""}"
cal_9cc580103c4a,nasdaq_earnings_calendar,ACNB earnings release (ACNB Corporation),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.32"", ""epsForecast"": ""$1.26"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$537,051,394"", ""name"": ""ACNB Corporation"", ""noOfEsts"": ""3"", ""surprise"": ""4.76"", ""symbol"": ""ACNB"", ""time"": ""time-not-supplied""}"
cal_cbf1dc573a44,nasdaq_earnings_calendar,ACU earnings release (Acme United Corporation.),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.24"", ""epsForecast"": ""$0.55"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$158,853,867"", ""name"": ""Acme United Corporation."", ""noOfEsts"": ""1"", ""surprise"": ""-56.36"", ""symbol"": ""ACU"", ""time"": ""time-not-supplied""}"
cal_da1d1552f3fe,nasdaq_earnings_calendar,AMAL earnings release (Amalgamated Financial Corp.),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.80"", ""epsForecast"": ""$0.95"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$1,207,238,166"", ""name"": ""Amalgamated Financial Corp."", ""noOfEsts"": ""2"", ""surprise"": ""-15.79"", ""symbol"": ""AMAL"", ""time"": ""time-not-supplied""}"
cal_43a19cf434b4,nasdaq_earnings_calendar,AMBP earnings release (Ardagh Metal Packaging S.A.),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.05"", ""epsForecast"": ""$0.04"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$2,396,775,340"", ""name"": ""Ardagh Metal Packaging S.A."", ""noOfEsts"": ""3"", ""surprise"": ""25"", ""symbol"": ""AMBP"", ""time"": ""time-not-supplied""}"
cal_872e47f6230e,nasdaq_earnings_calendar,"AMP earnings release (AMERIPRISE FINANCIAL SERVICES, LLC)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$11.26"", ""epsForecast"": ""$10.20"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$42,435,019,531"", ""name"": ""AMERIPRISE FINANCIAL SERVICES, LLC"", ""noOfEsts"": ""6"", ""surprise"": ""10.39"", ""symbol"": ""AMP"", ""time"": ""time-not-supplied""}"
cal_800cbee63ac9,nasdaq_earnings_calendar,AMTB earnings release (Amerant Bancorp Inc.),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.44"", ""epsForecast"": ""$0.43"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$891,387,103"", ""name"": ""Amerant Bancorp Inc."", ""noOfEsts"": ""2"", ""surprise"": ""2.33"", ""symbol"": ""AMTB"", ""time"": ""time-not-supplied""}"
cal_904aa3a438b8,nasdaq_earnings_calendar,"APPF earnings release (AppFolio, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.24"", ""epsForecast"": ""$1.03"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$5,312,265,998"", ""name"": ""AppFolio, Inc."", ""noOfEsts"": ""4"", ""surprise"": ""20.39"", ""symbol"": ""APPF"", ""time"": ""time-not-supplied""}"
cal_fa8e980f6750,nasdaq_earnings_calendar,ASB earnings release (Associated Banc-Corp),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.70"", ""epsForecast"": ""$0.69"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$4,614,836,702"", ""name"": ""Associated Banc-Corp"", ""noOfEsts"": ""5"", ""surprise"": ""1.45"", ""symbol"": ""ASB"", ""time"": ""time-not-supplied""}"
