accepted_baseline_refs,accepted_baseline_type_count,accepted_baseline_types,beat_miss_readiness,event_date,event_id,expectation_baseline_status,guidance_surprise_readiness,missing_required_baseline_types,provider_calls_performed_by_study,rejected_baseline_artifact_count,reviewed_guidance_interpretation_status,signed_direction_readiness,symbol
,0,,blocked_missing_or_partial_expectation_baseline,2025-10-14,cal_04c87c2e8355,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,reviewed_no_accepted_guidance_context,blocked_missing_or_partial_expectation_baseline,JPM
,0,,blocked_missing_or_partial_expectation_baseline,2025-10-22,cal_624828d686c6,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,partial_official_guidance_context_reviewed,blocked_missing_or_partial_expectation_baseline,TSLA
,0,,blocked_missing_or_partial_expectation_baseline,2025-10-29,cal_f6db2fe06339,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,reviewed_no_accepted_guidance_context,blocked_missing_or_partial_expectation_baseline,MSFT
,0,,blocked_missing_or_partial_expectation_baseline,2025-10-30,cal_15791d9ff7af,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,reviewed_no_accepted_guidance_context,blocked_missing_or_partial_expectation_baseline,AAPL
,0,,blocked_missing_or_partial_expectation_baseline,2025-10-30,cal_4af090722fde,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,partial_official_guidance_context_reviewed,blocked_missing_or_partial_expectation_baseline,COIN
,0,,blocked_missing_or_partial_expectation_baseline,2025-10-30,cal_2389e42d2118,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,partial_official_guidance_context_reviewed,blocked_missing_or_partial_expectation_baseline,LLY
,0,,blocked_missing_or_partial_expectation_baseline,2025-10-31,cal_8e082a589731,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,partial_official_guidance_context_reviewed,blocked_missing_or_partial_expectation_baseline,CVX
,0,,blocked_missing_or_partial_expectation_baseline,2025-10-31,cal_4bfaea404058,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,partial_official_guidance_context_reviewed,blocked_missing_or_partial_expectation_baseline,XOM
,0,,blocked_missing_or_partial_expectation_baseline,2025-11-04,cal_ed32ae7b473a,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,partial_official_guidance_context_reviewed,blocked_missing_or_partial_expectation_baseline,AMD
,0,,blocked_missing_or_partial_expectation_baseline,2025-11-04,cal_ace2cf7d166d,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,partial_official_guidance_context_reviewed,blocked_missing_or_partial_expectation_baseline,PFE
,0,,blocked_missing_or_partial_expectation_baseline,2025-11-10,cal_f7ad7203a325,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,partial_official_guidance_context_reviewed,blocked_missing_or_partial_expectation_baseline,RKLB
,0,,blocked_missing_or_partial_expectation_baseline,2025-11-19,cal_db9932651a59,missing_point_in_time_expectation_baseline,blocked_missing_or_partial_expectation_baseline,eps_consensus;revenue_consensus;prior_company_guidance_or_guidance_consensus,0,0,partial_official_guidance_context_reviewed,blocked_missing_or_partial_expectation_baseline,NVDA
