event_id,calendar_source,event_name,release_time,event_date,timezone,source_url,raw_summary
cal_906198bc754b,nasdaq_earnings_calendar,"APUS earnings release (Apimeds Pharmaceuticals US, Inc.)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($0.05)"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$17,229,097"", ""name"": ""Apimeds Pharmaceuticals US, Inc."", ""noOfEsts"": ""2"", ""symbol"": ""APUS"", ""time"": ""time-not-supplied""}"
cal_31b43dfdf0ea,nasdaq_earnings_calendar,"BTAI earnings release (BioXcel Therapeutics, Inc.)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": ""($0.59)"", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($1.50)"", ""lastYearRptDt"": ""5/12/2025"", ""marketCap"": ""$32,760,249"", ""name"": ""BioXcel Therapeutics, Inc."", ""noOfEsts"": ""2"", ""symbol"": ""BTAI"", ""time"": ""time-not-supplied""}"
cal_60f8defb21a0,nasdaq_earnings_calendar,"CBAT earnings release (CBAK Energy Technology, Inc.)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": ""($0.05)"", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($0.02)"", ""lastYearRptDt"": ""5/19/2025"", ""marketCap"": ""$69,773,138"", ""name"": ""CBAK Energy Technology, Inc."", ""noOfEsts"": ""1"", ""symbol"": ""CBAT"", ""time"": ""time-not-supplied""}"
cal_424e4eec1541,nasdaq_earnings_calendar,"CLRO earnings release (ClearOne, Inc.)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($1.65)"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$8,895,745"", ""name"": ""ClearOne, Inc."", ""noOfEsts"": ""2"", ""symbol"": ""CLRO"", ""time"": ""time-not-supplied""}"
cal_7f7e267afdb5,nasdaq_earnings_calendar,CRVO earnings release (CervoMed Inc.),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": ""($0.90)"", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($0.56)"", ""lastYearRptDt"": ""5/12/2025"", ""marketCap"": ""$34,812,783"", ""name"": ""CervoMed Inc."", ""noOfEsts"": ""2"", ""symbol"": ""CRVO"", ""time"": ""time-not-supplied""}"
cal_ddf8ec97cb59,nasdaq_earnings_calendar,DRTS earnings release (Alpha Tau Medical Ltd.),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": ""($0.13)"", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($0.12)"", ""lastYearRptDt"": ""5/19/2025"", ""marketCap"": ""$916,181,362"", ""name"": ""Alpha Tau Medical Ltd."", ""noOfEsts"": ""2"", ""symbol"": ""DRTS"", ""time"": ""time-not-supplied""}"
cal_b8ba2ec59c15,nasdaq_earnings_calendar,EDUC earnings release (Educational Development Corporation),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Feb/2026"", ""lastYearEPS"": ""($0.16)"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$12,596,819"", ""name"": ""Educational Development Corporation"", ""noOfEsts"": ""2"", ""symbol"": ""EDUC"", ""time"": ""time-not-supplied""}"
cal_7d25283b3a41,nasdaq_earnings_calendar,"HOTH earnings release (Hoth Therapeutics, Inc.)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($0.27)"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$12,737,097"", ""name"": ""Hoth Therapeutics, Inc."", ""noOfEsts"": ""2"", ""symbol"": ""HOTH"", ""time"": ""time-not-supplied""}"
cal_3d5164e2c9f7,nasdaq_earnings_calendar,IMRX earnings release (Immuneering Corporation),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": ""($0.30)"", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($0.42)"", ""lastYearRptDt"": ""5/05/2025"", ""marketCap"": ""$332,543,747"", ""name"": ""Immuneering Corporation"", ""noOfEsts"": ""2"", ""symbol"": ""IMRX"", ""time"": ""time-not-supplied""}"
cal_9121c1477e6d,nasdaq_earnings_calendar,IMTE earnings release (Integrated Media Technology Limited),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""N/A"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$1,931,726"", ""name"": ""Integrated Media Technology Limited"", ""noOfEsts"": ""2"", ""symbol"": ""IMTE"", ""time"": ""time-not-supplied""}"
cal_158483f6589f,nasdaq_earnings_calendar,ISPC earnings release (iSpecimen Inc.),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($28.40)"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$2,943,977"", ""name"": ""iSpecimen Inc."", ""noOfEsts"": ""2"", ""symbol"": ""ISPC"", ""time"": ""time-not-supplied""}"
cal_172bbf7fbfde,nasdaq_earnings_calendar,"NAK earnings release (Northern Dynasty Minerals, Ltd.)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($0.01)"", ""lastYearRptDt"": ""5/12/2025"", ""marketCap"": ""$1,213,552,680"", ""name"": ""Northern Dynasty Minerals, Ltd."", ""noOfEsts"": ""N/A"", ""symbol"": ""NAK"", ""time"": ""time-not-supplied""}"
cal_f751ff7bf377,nasdaq_earnings_calendar,NHIC earnings release (NewHold Investment Corp III),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""$0.03"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$143,367,970"", ""name"": ""NewHold Investment Corp III"", ""noOfEsts"": ""2"", ""symbol"": ""NHIC"", ""time"": ""time-not-supplied""}"
cal_2accf24fe1ec,nasdaq_earnings_calendar,PNRG earnings release (PrimeEnergy Resources Corporation),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""$3.72"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$409,936,480"", ""name"": ""PrimeEnergy Resources Corporation"", ""noOfEsts"": ""2"", ""symbol"": ""PNRG"", ""time"": ""time-not-supplied""}"
cal_9801da82c631,nasdaq_earnings_calendar,PROK earnings release (ProKidney Corp.),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": ""($0.13)"", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($0.13)"", ""lastYearRptDt"": ""5/12/2025"", ""marketCap"": ""$516,362,470"", ""name"": ""ProKidney Corp."", ""noOfEsts"": ""3"", ""symbol"": ""PROK"", ""time"": ""time-not-supplied""}"
cal_43757e15a3e4,nasdaq_earnings_calendar,"RICK earnings release (RCI Hospitality Holdings, Inc.)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""$0.36"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$189,068,565"", ""name"": ""RCI Hospitality Holdings, Inc."", ""noOfEsts"": ""2"", ""symbol"": ""RICK"", ""time"": ""time-not-supplied""}"
cal_6a36285fcd75,nasdaq_earnings_calendar,"SB earnings release (Safe Bulkers, Inc)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""$0.05"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$745,364,461"", ""name"": ""Safe Bulkers, Inc"", ""noOfEsts"": ""2"", ""symbol"": ""SB"", ""time"": ""time-not-supplied""}"
cal_3a50e6969493,nasdaq_earnings_calendar,"SCNX earnings release (Scienture Holdings, Inc.)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($0.33)"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$16,699,265"", ""name"": ""Scienture Holdings, Inc."", ""noOfEsts"": ""2"", ""symbol"": ""SCNX"", ""time"": ""time-not-supplied""}"
cal_86e71fdadc74,nasdaq_earnings_calendar,"SONM earnings release (DNA X, Inc.)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""$1.44"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$7,552,960"", ""name"": ""DNA X, Inc."", ""noOfEsts"": ""2"", ""symbol"": ""SONM"", ""time"": ""time-not-supplied""}"
cal_cf697f28b3cd,nasdaq_earnings_calendar,TCOM earnings release (Trip.com Group Limited),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": ""$0.74"", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""$0.73"", ""lastYearRptDt"": ""5/19/2025"", ""marketCap"": ""$31,661,578,562"", ""name"": ""Trip.com Group Limited"", ""noOfEsts"": ""2"", ""symbol"": ""TCOM"", ""time"": ""time-not-supplied""}"
cal_697328354f76,nasdaq_earnings_calendar,"TRNS earnings release (Transcat, Inc.)",2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": ""$0.51"", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""$0.64"", ""lastYearRptDt"": ""5/19/2025"", ""marketCap"": ""$721,938,064"", ""name"": ""Transcat, Inc."", ""noOfEsts"": ""2"", ""symbol"": ""TRNS"", ""time"": ""time-not-supplied""}"
cal_fb3120545ce5,nasdaq_earnings_calendar,VSTD earnings release (Vestand Inc.),2026-05-18T00:00:00-04:00,2026-05-18,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-05-18,"{""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""lastYearEPS"": ""($0.24)"", ""lastYearRptDt"": ""N/A"", ""marketCap"": ""$7,098,265"", ""name"": ""Vestand Inc. "", ""noOfEsts"": ""2"", ""symbol"": ""VSTD"", ""time"": ""time-not-supplied""}"
