accepted_prior_guidance_span_count,candidate_days_before_event,document_route_status,document_text_path,event_date,event_id,prior_accession_number,prior_exhibit_document,prior_guidance_baseline_status,prior_primary_document,provider_calls_performed_by_study,symbol
0,91,candidate_official_earnings_exhibit,/root/projects/trading-data/storage/earnings_guidance_prior_earnings_window_exhibit_text_q4_2025_20260515/AAPL/000032019325000071/a8-kex991q3202506282025.htm/runs/sec_prior_exhibit_AAPL_cal_15791d9ff7af_000032019325000071_a8-kex991q3202506282025.htm/cleaned/sec_filing_document_text.txt,2025-10-30,cal_15791d9ff7af,0000320193-25-000071,a8-kex991q3202506282025.htm,reviewed_no_prior_guidance_context_found,aapl-20250731.htm,0,AAPL
2,91,candidate_official_earnings_exhibit,/root/projects/trading-data/storage/earnings_guidance_prior_earnings_window_exhibit_text_q4_2025_20260515/AMD/000000248825000106/amdq225earningsslidesfin.htm/runs/sec_prior_exhibit_AMD_cal_ed32ae7b473a_000000248825000106_amdq225earningsslidesfin.htm/cleaned/sec_filing_document_text.txt,2025-11-04,cal_ed32ae7b473a,0000002488-25-000106,amdq225earningsslidesfin.htm,accepted_prior_company_guidance_context_baseline,amd-20250805.htm,0,AMD
3,91,candidate_official_earnings_exhibit,/root/projects/trading-data/storage/earnings_guidance_prior_earnings_window_exhibit_text_q4_2025_20260515/AMD/000000248825000106/q22025991.htm/runs/sec_prior_exhibit_AMD_cal_ed32ae7b473a_000000248825000106_q22025991.htm/cleaned/sec_filing_document_text.txt,2025-11-04,cal_ed32ae7b473a,0000002488-25-000106,q22025991.htm,accepted_prior_company_guidance_context_baseline,amd-20250805.htm,0,AMD
6,91,candidate_official_earnings_exhibit,/root/projects/trading-data/storage/earnings_guidance_prior_earnings_window_exhibit_text_q4_2025_20260515/COIN/000167978825000153/q225shareholderletter.htm/runs/sec_prior_exhibit_COIN_cal_4af090722fde_000167978825000153_q225shareholderletter.htm/cleaned/sec_filing_document_text.txt,2025-10-30,cal_4af090722fde,0001679788-25-000153,q225shareholderletter.htm,accepted_prior_company_guidance_context_baseline,coin-20250731.htm,0,COIN
0,85,candidate_official_earnings_exhibit,/root/projects/trading-data/storage/earnings_guidance_prior_earnings_window_exhibit_text_q4_2025_20260515/COIN/000167978825000167/pressreleasepricing.htm/runs/sec_prior_exhibit_COIN_cal_4af090722fde_000167978825000167_pressreleasepricing.htm/cleaned/sec_filing_document_text.txt,2025-10-30,cal_4af090722fde,0001679788-25-000167,pressreleasepricing.htm,reviewed_no_prior_guidance_context_found,coin-20250805.htm,0,COIN
0,91,candidate_official_earnings_exhibit,/root/projects/trading-data/storage/earnings_guidance_prior_earnings_window_exhibit_text_q4_2025_20260515/CVX/000009341025000058/a06302025ex9918-k.htm/runs/sec_prior_exhibit_CVX_cal_8e082a589731_000009341025000058_a06302025ex9918-k.htm/cleaned/sec_filing_document_text.txt,2025-10-31,cal_8e082a589731,0000093410-25-000058,a06302025ex9918-k.htm,reviewed_no_prior_guidance_context_found,cvx-20250801.htm,0,CVX
0,105,candidate_official_earnings_exhibit,/root/projects/trading-data/storage/earnings_guidance_prior_earnings_window_exhibit_text_q4_2025_20260515/CVX/000095014225001949/eh250652625_ex9901.htm/runs/sec_prior_exhibit_CVX_cal_8e082a589731_000095014225001949_eh250652625_ex9901.htm/cleaned/sec_filing_document_text.txt,2025-10-31,cal_8e082a589731,0000950142-25-001949,eh250652625_ex9901.htm,reviewed_no_prior_guidance_context_found,eh250652625_8k.htm,0,CVX
0,105,candidate_official_earnings_exhibit,/root/projects/trading-data/storage/earnings_guidance_prior_earnings_window_exhibit_text_q4_2025_20260515/JPM/000001961725000509/jpmc2025ccarresultsex99.htm/runs/sec_prior_exhibit_JPM_cal_04c87c2e8355_000001961725000509_jpmc2025ccarresultsex99.htm/cleaned/sec_filing_document_text.txt,2025-10-14,cal_04c87c2e8355,0000019617-25-000509,jpmc2025ccarresultsex99.htm,reviewed_no_prior_guidance_context_found,jpm-20250701.htm,0,JPM
0,91,candidate_official_earnings_exhibit,/root/projects/trading-data/storage/earnings_guidance_prior_earnings_window_exhibit_text_q4_2025_20260515/JPM/000001961725000518/a2q25erfex992supplement.htm/runs/sec_prior_exhibit_JPM_cal_04c87c2e8355_000001961725000518_a2q25erfex992supplement.htm/cleaned/sec_filing_document_text.txt,2025-10-14,cal_04c87c2e8355,0000019617-25-000518,a2q25erfex992supplement.htm,reviewed_no_prior_guidance_context_found,jpm-20250715.htm,0,JPM
0,91,candidate_official_earnings_exhibit,/root/projects/trading-data/storage/earnings_guidance_prior_earnings_window_exhibit_text_q4_2025_20260515/JPM/000001961725000518/a2q25erfexhibit991narrative.htm/runs/sec_prior_exhibit_JPM_cal_04c87c2e8355_000001961725000518_a2q25erfexhibit991narrative.htm/cleaned/sec_filing_document_text.txt,2025-10-14,cal_04c87c2e8355,0000019617-25-000518,a2q25erfexhibit991narrative.htm,reviewed_no_prior_guidance_context_found,jpm-20250715.htm,0,JPM
