accepted_prior_guidance_document_count,accepted_prior_guidance_span_count,baseline_type,candidate_document_count,event_date,event_id,prior_guidance_baseline_status,provider_calls_performed_by_study,review_status,signed_direction_readiness,symbol
0,0,missing,1,2025-10-30,cal_15791d9ff7af,reviewed_no_prior_guidance_context_found,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,AAPL
2,5,prior_company_guidance,2,2025-11-04,cal_ed32ae7b473a,accepted_prior_company_guidance_context_baseline,0,reviewed_prior_guidance_context,blocked_pending_current_guidance_comparison_and_revenue_consensus,AMD
1,6,prior_company_guidance,2,2025-10-30,cal_4af090722fde,accepted_prior_company_guidance_context_baseline,0,reviewed_prior_guidance_context,blocked_pending_current_guidance_comparison_and_revenue_consensus,COIN
0,0,missing,2,2025-10-31,cal_8e082a589731,reviewed_no_prior_guidance_context_found,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,CVX
0,0,missing,4,2025-10-14,cal_04c87c2e8355,reviewed_no_prior_guidance_context_found,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,JPM
1,14,prior_company_guidance,1,2025-10-30,cal_2389e42d2118,accepted_prior_company_guidance_context_baseline,0,reviewed_prior_guidance_context,blocked_pending_current_guidance_comparison_and_revenue_consensus,LLY
0,0,missing,1,2025-10-29,cal_f6db2fe06339,reviewed_no_prior_guidance_context_found,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,MSFT
1,1,prior_company_guidance,2,2025-11-19,cal_db9932651a59,accepted_prior_company_guidance_context_baseline,0,reviewed_prior_guidance_context,blocked_pending_current_guidance_comparison_and_revenue_consensus,NVDA
1,13,prior_company_guidance,1,2025-11-04,cal_ace2cf7d166d,accepted_prior_company_guidance_context_baseline,0,reviewed_prior_guidance_context,blocked_pending_current_guidance_comparison_and_revenue_consensus,PFE
1,2,prior_company_guidance,2,2025-11-10,cal_f7ad7203a325,accepted_prior_company_guidance_context_baseline,0,reviewed_prior_guidance_context,blocked_pending_current_guidance_comparison_and_revenue_consensus,RKLB
0,0,missing,1,2025-10-22,cal_624828d686c6,reviewed_no_prior_guidance_context_found,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,TSLA
1,1,prior_company_guidance,2,2025-10-31,cal_4bfaea404058,accepted_prior_company_guidance_context_baseline,0,reviewed_prior_guidance_context,blocked_pending_current_guidance_comparison_and_revenue_consensus,XOM
