accepted_prior_guidance_span_count,baseline_type,event_date,event_id,guidance_surprise_readiness,prior_accession_number,prior_filing_date,prior_form,prior_guidance_baseline_status,prior_primary_document,provider_calls_performed_by_study,review_status,signed_direction_readiness,symbol
0,missing,2025-10-14,cal_04c87c2e8355,blocked_missing_prior_guidance_baseline_context,0000019617-25-000907,2025-09-12,8-K,reviewed_no_prior_guidance_context_found,jpm-20250912.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,JPM
0,missing,2025-10-22,cal_624828d686c6,blocked_missing_prior_guidance_baseline_context,0001628280-25-043530,2025-10-02,8-K,reviewed_no_prior_guidance_context_found,tsla-20251002.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,TSLA
0,missing,2025-10-29,cal_f6db2fe06339,blocked_missing_prior_guidance_baseline_context,0001193125-25-225125,2025-09-30,8-K,reviewed_no_prior_guidance_context_found,d863209d8k.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,MSFT
0,missing,2025-10-30,cal_15791d9ff7af,blocked_missing_prior_guidance_baseline_context,0000320193-25-000071,2025-07-31,8-K,reviewed_no_prior_guidance_context_found,aapl-20250731.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,AAPL
0,missing,2025-10-30,cal_4af090722fde,blocked_missing_prior_guidance_baseline_context,0001679788-25-000182,2025-08-15,8-K,reviewed_no_prior_guidance_context_found,coin-20250815.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,COIN
0,missing,2025-10-30,cal_2389e42d2118,blocked_missing_prior_guidance_baseline_context,0001193125-25-184093,2025-08-20,8-K,reviewed_no_prior_guidance_context_found,d929636d8k.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,LLY
3,prior_company_guidance,2025-10-31,cal_8e082a589731,blocked_pending_current_guidance_comparison,0000093410-25-000098,2025-09-25,8-K,accepted_prior_company_guidance_context_baseline,cvx-20250925.htm,0,reviewed_prior_guidance_context,blocked_pending_current_guidance_comparison_and_revenue_consensus,CVX
0,missing,2025-10-31,cal_4bfaea404058,blocked_missing_prior_guidance_baseline_context,0000034088-25-000055,2025-10-06,8-K,reviewed_no_prior_guidance_context_found,xom-20251006.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,XOM
0,missing,2025-11-04,cal_ed32ae7b473a,blocked_missing_prior_guidance_baseline_context,0001193125-25-250803,2025-10-27,8-K,reviewed_no_prior_guidance_context_found,d917887d8k.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,AMD
0,missing,2025-11-04,cal_ace2cf7d166d,blocked_missing_prior_guidance_baseline_context,0000078003-25-000136,2025-08-05,8-K,reviewed_no_prior_guidance_context_found,pfe-20250805.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,PFE
0,missing,2025-11-10,cal_f7ad7203a325,blocked_missing_prior_guidance_baseline_context,0001819994-25-000010,2025-09-25,8-K,reviewed_no_prior_guidance_context_found,rklb-20250925.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,RKLB
0,missing,2025-11-19,cal_db9932651a59,blocked_missing_prior_guidance_baseline_context,0001045810-25-000207,2025-08-27,8-K,reviewed_no_prior_guidance_context_found,nvda-20250827.htm,0,reviewed_rejected_or_missing_guidance_context,blocked_missing_prior_guidance_baseline_context,NVDA
