cik,event_date,event_id,prior_accession_number,prior_filing_date,prior_form,prior_official_guidance_source_status,prior_primary_doc_description,prior_primary_document,prior_report_date,prior_submission_csv_path,provider_calls_performed_by_study,signed_direction_ready,symbol
0000019617,2025-10-14,cal_04c87c2e8355,0000019617-25-000907,2025-09-12,8-K,candidate_prior_official_guidance_source_selected,8-K,jpm-20250912.htm,2025-09-12,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/JPM/runs/sec_submission_JPM_q4_2025_20260515/saved/sec_submission.csv,0,False,JPM
0001318605,2025-10-22,cal_624828d686c6,0001628280-25-043530,2025-10-02,8-K,candidate_prior_official_guidance_source_selected,8-K,tsla-20251002.htm,2025-10-02,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/TSLA/runs/sec_submission_TSLA_q4_2025_20260515/saved/sec_submission.csv,0,False,TSLA
0000789019,2025-10-29,cal_f6db2fe06339,0001193125-25-225125,2025-09-30,8-K,candidate_prior_official_guidance_source_selected,8-K,d863209d8k.htm,2025-09-24,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/MSFT/runs/sec_submission_MSFT_q4_2025_20260515/saved/sec_submission.csv,0,False,MSFT
0000320193,2025-10-30,cal_15791d9ff7af,0000320193-25-000071,2025-07-31,8-K,candidate_prior_official_guidance_source_selected,8-K,aapl-20250731.htm,2025-07-31,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/AAPL/runs/sec_submission_AAPL_q4_2025_20260515/saved/sec_submission.csv,0,False,AAPL
0001679788,2025-10-30,cal_4af090722fde,0001679788-25-000182,2025-08-15,8-K,candidate_prior_official_guidance_source_selected,8-K,coin-20250815.htm,2025-08-15,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/COIN/runs/sec_submission_COIN_q4_2025_20260515/saved/sec_submission.csv,0,False,COIN
0000059478,2025-10-30,cal_2389e42d2118,0001193125-25-184093,2025-08-20,8-K,candidate_prior_official_guidance_source_selected,8-K,d929636d8k.htm,2025-08-18,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/LLY/runs/sec_submission_LLY_q4_2025_20260515/saved/sec_submission.csv,0,False,LLY
0000093410,2025-10-31,cal_8e082a589731,0000093410-25-000098,2025-09-25,8-K,candidate_prior_official_guidance_source_selected,8-K,cvx-20250925.htm,2025-09-25,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/CVX/runs/sec_submission_CVX_q4_2025_20260515/saved/sec_submission.csv,0,False,CVX
0000034088,2025-10-31,cal_4bfaea404058,0000034088-25-000055,2025-10-06,8-K,candidate_prior_official_guidance_source_selected,FORM 8-K,xom-20251006.htm,2025-10-06,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/XOM/runs/sec_submission_XOM_q4_2025_20260515/saved/sec_submission.csv,0,False,XOM
0000002488,2025-11-04,cal_ed32ae7b473a,0001193125-25-250803,2025-10-27,8-K,candidate_prior_official_guidance_source_selected,8-K,d917887d8k.htm,2025-10-27,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/AMD/runs/sec_submission_AMD_q4_2025_20260515/saved/sec_submission.csv,0,False,AMD
0000078003,2025-11-04,cal_ace2cf7d166d,0000078003-25-000136,2025-08-05,8-K,candidate_prior_official_guidance_source_selected,8-K,pfe-20250805.htm,2025-08-05,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/PFE/runs/sec_submission_PFE_q4_2025_20260515/saved/sec_submission.csv,0,False,PFE
0001819994,2025-11-10,cal_f7ad7203a325,0001819994-25-000010,2025-09-25,8-K,candidate_prior_official_guidance_source_selected,8-K,rklb-20250925.htm,2025-09-25,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/RKLB/runs/sec_submission_RKLB_q4_2025_20260515/saved/sec_submission.csv,0,False,RKLB
0001045810,2025-11-19,cal_db9932651a59,0001045810-25-000207,2025-08-27,8-K,candidate_prior_official_guidance_source_selected,8-K,nvda-20250827.htm,2025-08-27,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_submission_scout_q4_2025_20260515/NVDA/runs/sec_submission_NVDA_q4_2025_20260515/saved/sec_submission.csv,0,False,NVDA
