accepted_prior_guidance_baseline_count,event_date,event_id,prior_accession_number,prior_document_text_length,prior_document_text_path,prior_document_text_present,prior_filing_date,prior_form,prior_official_document_coverage_status,prior_primary_document,provider_calls_performed_by_study,signed_direction_ready,symbol
0,2025-10-14,cal_04c87c2e8355,0000019617-25-000907,42764,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/JPM/runs/sec_prior_guidance_cal_04c87c2e8355_000001961725000907/cleaned/sec_filing_document_text.txt,True,2025-09-12,8-K,prior_official_document_text_present_uninterpreted,jpm-20250912.htm,0,False,JPM
0,2025-10-22,cal_624828d686c6,0001628280-25-043530,26578,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/TSLA/runs/sec_prior_guidance_cal_624828d686c6_000162828025043530/cleaned/sec_filing_document_text.txt,True,2025-10-02,8-K,prior_official_document_text_present_uninterpreted,tsla-20251002.htm,0,False,TSLA
0,2025-10-29,cal_f6db2fe06339,0001193125-25-225125,26927,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/MSFT/runs/sec_prior_guidance_cal_f6db2fe06339_000119312525225125/cleaned/sec_filing_document_text.txt,True,2025-09-30,8-K,prior_official_document_text_present_uninterpreted,d863209d8k.htm,0,False,MSFT
0,2025-10-30,cal_15791d9ff7af,0000320193-25-000071,39036,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/AAPL/runs/sec_prior_guidance_cal_15791d9ff7af_000032019325000071/cleaned/sec_filing_document_text.txt,True,2025-07-31,8-K,prior_official_document_text_present_uninterpreted,aapl-20250731.htm,0,False,AAPL
0,2025-10-30,cal_4af090722fde,0001679788-25-000182,31907,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/COIN/runs/sec_prior_guidance_cal_4af090722fde_000167978825000182/cleaned/sec_filing_document_text.txt,True,2025-08-15,8-K,prior_official_document_text_present_uninterpreted,coin-20250815.htm,0,False,COIN
0,2025-10-30,cal_2389e42d2118,0001193125-25-184093,51496,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/LLY/runs/sec_prior_guidance_cal_2389e42d2118_000119312525184093/cleaned/sec_filing_document_text.txt,True,2025-08-20,8-K,prior_official_document_text_present_uninterpreted,d929636d8k.htm,0,False,LLY
0,2025-10-31,cal_8e082a589731,0000093410-25-000098,48626,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/CVX/runs/sec_prior_guidance_cal_8e082a589731_000009341025000098/cleaned/sec_filing_document_text.txt,True,2025-09-25,8-K,prior_official_document_text_present_uninterpreted,cvx-20250925.htm,0,False,CVX
0,2025-10-31,cal_4bfaea404058,0000034088-25-000055,37225,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/XOM/runs/sec_prior_guidance_cal_4bfaea404058_000003408825000055/cleaned/sec_filing_document_text.txt,True,2025-10-06,8-K,prior_official_document_text_present_uninterpreted,xom-20251006.htm,0,False,XOM
0,2025-11-04,cal_ed32ae7b473a,0001193125-25-250803,31354,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/AMD/runs/sec_prior_guidance_cal_ed32ae7b473a_000119312525250803/cleaned/sec_filing_document_text.txt,True,2025-10-27,8-K,prior_official_document_text_present_uninterpreted,d917887d8k.htm,0,False,AMD
0,2025-11-04,cal_ace2cf7d166d,0000078003-25-000136,40425,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/PFE/runs/sec_prior_guidance_cal_ace2cf7d166d_000007800325000136/cleaned/sec_filing_document_text.txt,True,2025-08-05,8-K,prior_official_document_text_present_uninterpreted,pfe-20250805.htm,0,False,PFE
0,2025-11-10,cal_f7ad7203a325,0001819994-25-000010,27886,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/RKLB/runs/sec_prior_guidance_cal_f7ad7203a325_000181999425000010/cleaned/sec_filing_document_text.txt,True,2025-09-25,8-K,prior_official_document_text_present_uninterpreted,rklb-20250925.htm,0,False,RKLB
0,2025-11-19,cal_db9932651a59,0001045810-25-000207,25696,/root/projects/trading-data/storage/earnings_guidance_prior_official_guidance_document_text_q4_2025_20260515/NVDA/runs/sec_prior_guidance_cal_db9932651a59_000104581025000207/cleaned/sec_filing_document_text.txt,True,2025-08-27,8-K,prior_official_document_text_present_uninterpreted,nvda-20250827.htm,0,False,NVDA
