current_end,current_filed,current_fp,current_fy,current_tag,current_value,direction,event_id,metric,prior_value,source_accession_number,symbol,yoy_change,yoy_change_pct
2025-09-30,2025-10-23,Q3,2025,RevenueFromContractWithCustomerExcludingAssessedTax,69926000000.0,negative,cal_624828d686c6,revenue,71983000000.0,0001628280-25-045968,TSLA,-2057000000.0,-0.028576191600794634
2025-09-30,2025-10-23,Q3,2025,NetIncomeLoss,2954000000.0,negative,cal_624828d686c6,net_income,4774000000.0,0001628280-25-045968,TSLA,-1820000000.0,-0.3812316715542522
2025-09-30,2025-10-23,Q3,2025,EarningsPerShareBasic,0.92,negative,cal_624828d686c6,eps,1.51,0001628280-25-045968,TSLA,-0.59,-0.39072847682119205
2025-09-30,2025-10-29,Q1,2026,RevenueFromContractWithCustomerExcludingAssessedTax,77673000000.0,positive,cal_f6db2fe06339,revenue,65585000000.0,0001193125-25-256321,MSFT,12088000000.0,0.18431043683769155
2025-09-30,2025-10-29,Q1,2026,NetIncomeLoss,27747000000.0,positive,cal_f6db2fe06339,net_income,24667000000.0,0001193125-25-256321,MSFT,3080000000.0,0.12486317752462804
2025-09-30,2025-10-29,Q1,2026,EarningsPerShareBasic,3.73,positive,cal_f6db2fe06339,eps,3.32,0001193125-25-256321,MSFT,0.41000000000000014,0.12349397590361451
2025-09-27,2025-10-31,FY,2025,RevenueFromContractWithCustomerExcludingAssessedTax,416161000000.0,positive,cal_15791d9ff7af,revenue,391035000000.0,0000320193-25-000079,AAPL,25126000000.0,0.0642551178283274
2025-09-27,2025-10-31,FY,2025,NetIncomeLoss,112010000000.0,positive,cal_15791d9ff7af,net_income,93736000000.0,0000320193-25-000079,AAPL,18274000000.0,0.19495177946573355
2025-09-27,2025-10-31,FY,2025,EarningsPerShareBasic,7.49,positive,cal_15791d9ff7af,eps,6.11,0000320193-25-000079,AAPL,1.38,0.22585924713584285
2025-09-30,2025-10-30,Q3,2025,Revenues,5400196000.0,positive,cal_4af090722fde,revenue,4292391000.0,0001679788-25-000208,COIN,1107805000.0,0.2580857615254528
2025-09-30,2025-10-30,Q3,2025,NetIncomeLoss,1927060000.0,positive,cal_4af090722fde,net_income,1287890000.0,0001679788-25-000208,COIN,639170000.0,0.4962923852192346
2025-09-30,2025-10-30,Q3,2025,EarningsPerShareBasic,7.49,positive,cal_4af090722fde,eps,5.23,0001679788-25-000208,COIN,2.26,0.4321223709369024
2025-09-30,2025-10-30,Q3,2025,Revenues,45887000000.0,positive,cal_2389e42d2118,revenue,31509900000.0,0000059478-25-000254,LLY,14377100000.0,0.4562724730957572
2025-09-30,2025-10-30,Q3,2025,NetIncomeLoss,14002300000.0,positive,cal_2389e42d2118,net_income,6180200000.0,0000059478-25-000254,LLY,7822100000.0,1.2656710138830458
2025-09-30,2025-10-30,Q3,2025,EarningsPerShareBasic,15.6,positive,cal_2389e42d2118,eps,6.86,0000059478-25-000254,LLY,8.739999999999998,1.2740524781341105
2025-09-30,2025-11-06,Q3,2025,RevenueFromContractWithCustomerExcludingAssessedTax,138645000000.0,negative,cal_8e082a589731,revenue,145080000000.0,0000093410-25-000108,CVX,-6435000000.0,-0.04435483870967742
2025-09-30,2025-11-06,Q3,2025,NetIncomeLoss,9529000000.0,negative,cal_8e082a589731,net_income,14422000000.0,0000093410-25-000108,CVX,-4893000000.0,-0.33927333240881985
2025-09-30,2025-11-06,Q3,2025,EarningsPerShareBasic,5.29,negative,cal_8e082a589731,eps,7.91,0000093410-25-000108,CVX,-2.62,-0.33122629582806573
2025-09-30,2025-11-03,Q3,2025,Revenues,249930000000.0,negative,cal_4bfaea404058,revenue,266159000000.0,0000034088-25-000061,XOM,-16229000000.0,-0.06097483083420061
2025-09-30,2025-11-03,Q3,2025,NetIncomeLoss,22343000000.0,negative,cal_4bfaea404058,net_income,26070000000.0,0000034088-25-000061,XOM,-3727000000.0,-0.14296125815113156
2025-09-30,2025-11-03,Q3,2025,EarningsPerShareBasic,5.16,negative,cal_4bfaea404058,eps,6.12,0000034088-25-000061,XOM,-0.96,-0.1568627450980392
2025-09-27,2025-11-05,Q3,2025,RevenueFromContractWithCustomerExcludingAssessedTax,24369000000.0,positive,cal_ed32ae7b473a,revenue,18127000000.0,0000002488-25-000166,AMD,6242000000.0,0.3443482098527059
2025-09-27,2025-11-05,Q3,2025,NetIncomeLoss,2824000000.0,positive,cal_ed32ae7b473a,net_income,1159000000.0,0000002488-25-000166,AMD,1665000000.0,1.436583261432269
2025-09-27,2025-11-05,Q3,2025,EarningsPerShareBasic,1.74,positive,cal_ed32ae7b473a,eps,0.72,0000002488-25-000166,AMD,1.02,1.4166666666666667
2025-09-28,2025-11-04,Q3,2025,Revenues,45022000000.0,negative,cal_ace2cf7d166d,revenue,45864000000.0,0000078003-25-000150,PFE,-842000000.0,-0.018358625501482644
2025-09-28,2025-11-04,Q3,2025,NetIncomeLoss,9419000000.0,positive,cal_ace2cf7d166d,net_income,7621000000.0,0000078003-25-000150,PFE,1798000000.0,0.23592704369505313
2025-09-28,2025-11-04,Q3,2025,EarningsPerShareBasic,1.66,positive,cal_ace2cf7d166d,eps,1.35,0000078003-25-000150,PFE,0.30999999999999983,0.2296296296296295
2025-09-30,2025-11-10,Q3,2025,RevenueFromContractWithCustomerExcludingAssessedTax,422147000.0,positive,cal_f7ad7203a325,revenue,303826000.0,0001819994-25-000021,RKLB,118321000.0,0.389436717068322
2025-09-30,2025-11-10,Q3,2025,NetIncomeLoss,-145287000.0,negative,cal_f7ad7203a325,net_income,-137830000.0,0001819994-25-000021,RKLB,-7457000.0,-0.0541028803598636
2025-09-30,2025-11-10,Q3,2025,EarningsPerShareBasic,-0.28,flat,cal_f7ad7203a325,eps,-0.28,0001819994-25-000021,RKLB,0.0,0.0
2025-10-26,2025-11-19,Q3,2026,Revenues,147811000000.0,positive,cal_db9932651a59,revenue,91166000000.0,0001045810-25-000230,NVDA,56645000000.0,0.6213390957155079
2025-10-26,2025-11-19,Q3,2026,NetIncomeLoss,77107000000.0,positive,cal_db9932651a59,net_income,50789000000.0,0001045810-25-000230,NVDA,26318000000.0,0.518183071137451
2025-10-26,2025-11-19,Q3,2026,EarningsPerShareBasic,3.16,positive,cal_db9932651a59,eps,2.07,0001045810-25-000230,NVDA,1.0900000000000003,0.526570048309179
