complete_option_event_count,direction_hypothesis_count,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_date,event_directional_fwd_10d,event_directional_fwd_14d,event_directional_fwd_1d,event_directional_fwd_5d,event_id,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_name,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,option_coverage_verified,option_event_count,split_status,symbol
0,0,,,,,2026-04-22,,,,,cal_a2a8a554caad,,,,,,,,,"TSLA earnings release (Tesla, Inc.)",,,,,False,0,not_option_covered,TSLA
0,0,,,,,2026-04-29,,,,,cal_92ecfed8bb10,,,,,,,,,MSFT earnings release (Microsoft Corporation),,,,,False,0,not_option_covered,MSFT
0,0,,,,,2026-04-30,,,,,cal_2a6defd4e9d8,,,,,,,,,AAPL earnings release (Apple Inc.),,,,,False,0,not_option_covered,AAPL
0,0,,,,,2026-04-30,,,,,cal_e583433f831d,,,,,,,,,LLY earnings release (Eli Lilly and Company),,,,,False,0,not_option_covered,LLY
22,5,,,0.008655510675129818,0.04726433405025432,2026-05-01,,,0.008655510675129818,-0.04726433405025432,cal_f8652e56fc48,,,-0.013943240833027226,-0.05822798090541881,,,0.016156953260242357,0.016156953260242357,CVX earnings release (Chevron Corporation),,,0.030100194093269684,0.07438493416566126,True,22,earnings_with_verified_option_abnormality,CVX
23,4,,,0.006153846153846176,0.05355155482815066,2026-05-01,,,0.006153846153846176,-0.05355155482815066,cal_d1990670b000,,,-0.021178396072013217,-0.057806219312602325,,,0.011260229132569632,0.016628477905073602,XOM earnings release (Exxon Mobil Corporation),,,0.03243862520458273,0.07443469721767595,True,23,earnings_with_verified_option_abnormality,XOM
0,0,,,,,2026-05-05,,,,,cal_315e3f91a9c2,,,,,,,,,"AMD earnings release (Advanced Micro Devices, Inc.)",,,,,False,0,not_option_covered,AMD
0,0,,,,,2026-05-05,,,,,cal_aa6ecda8be07,,,,,,,,,"PFE earnings release (Pfizer, Inc.)",,,,,False,0,not_option_covered,PFE
0,0,,,,,2026-05-07,,,,,cal_ce405312dfec,,,,,,,,,"COIN earnings release (Coinbase Global, Inc.)",,,,,False,0,not_option_covered,COIN
0,0,,,,,2026-05-07,,,,,cal_19910898ca98,,,,,,,,,RKLB earnings release (Rocket Lab Corporation),,,,,False,0,not_option_covered,RKLB
