error,event_date,option_event_count,right,row_count_option_activity_event,saved_path,status,strike,symbol,warnings
,2026-04-22,12,CALL,12,/root/projects/trading-data/storage/earnings_option_no_abnormality_control_probe_20260515/TSLA/2026-04-22/call_390_events/runs/earn_opt_ctrl_TSLA_2026-04-22_call_390/saved/option_activity_event.csv,succeeded,390,TSLA,
,2026-04-22,12,PUT,12,/root/projects/trading-data/storage/earnings_option_no_abnormality_control_probe_20260515/TSLA/2026-04-22/put_390_events/runs/earn_opt_ctrl_TSLA_2026-04-22_put_390/saved/option_activity_event.csv,succeeded,390,TSLA,
,2026-04-22,12,CALL,12,/root/projects/trading-data/storage/earnings_option_no_abnormality_control_probe_20260515/TSLA/2026-04-22/call_395_events/runs/earn_opt_ctrl_TSLA_2026-04-22_call_395/saved/option_activity_event.csv,succeeded,395,TSLA,
,2026-04-22,12,PUT,12,/root/projects/trading-data/storage/earnings_option_no_abnormality_control_probe_20260515/TSLA/2026-04-22/put_395_events/runs/earn_opt_ctrl_TSLA_2026-04-22_put_395/saved/option_activity_event.csv,succeeded,395,TSLA,
,2026-04-22,12,CALL,12,/root/projects/trading-data/storage/earnings_option_no_abnormality_control_probe_20260515/TSLA/2026-04-22/call_385_events/runs/earn_opt_ctrl_TSLA_2026-04-22_call_385/saved/option_activity_event.csv,succeeded,385,TSLA,
,2026-04-22,12,PUT,12,/root/projects/trading-data/storage/earnings_option_no_abnormality_control_probe_20260515/TSLA/2026-04-22/put_385_events/runs/earn_opt_ctrl_TSLA_2026-04-22_put_385/saved/option_activity_event.csv,succeeded,385,TSLA,
,2026-04-22,12,CALL,12,/root/projects/trading-data/storage/earnings_option_no_abnormality_control_probe_20260515/TSLA/2026-04-22/call_400_events/runs/earn_opt_ctrl_TSLA_2026-04-22_call_400/saved/option_activity_event.csv,succeeded,400,TSLA,
,2026-04-22,12,PUT,12,/root/projects/trading-data/storage/earnings_option_no_abnormality_control_probe_20260515/TSLA/2026-04-22/put_400_events/runs/earn_opt_ctrl_TSLA_2026-04-22_put_400/saved/option_activity_event.csv,succeeded,400,TSLA,
,2026-04-22,12,CALL,12,/root/projects/trading-data/storage/earnings_option_no_abnormality_control_probe_20260515/TSLA/2026-04-22/call_380_events/runs/earn_opt_ctrl_TSLA_2026-04-22_call_380/saved/option_activity_event.csv,succeeded,380,TSLA,
,2026-04-22,12,PUT,12,/root/projects/trading-data/storage/earnings_option_no_abnormality_control_probe_20260515/TSLA/2026-04-22/put_380_events/runs/earn_opt_ctrl_TSLA_2026-04-22_put_380/saved/option_activity_event.csv,succeeded,380,TSLA,
