attempted_contract_count,complete_option_event_count,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_date,event_directional_fwd_10d,event_directional_fwd_14d,event_directional_fwd_1d,event_directional_fwd_5d,event_id,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_name,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,failed_contract_count,option_event_count,successful_contract_count,symbol,underlying_event_close,verification_status
10,,0.028954091507316093,0.11855177930892102,0.03558617842120193,0.03796031070165928,2026-04-22,0.028954091507316093,0.11855177930892102,-0.03558617842120193,-0.03796031070165928,cal_a2a8a554caad,-0.06061779050863203,-0.06061779050863203,-0.04934066217645994,-0.06061779050863203,0.03770225284508788,0.159092668576295,-0.0038966736342287422,-0.0038966736342287422,"TSLA earnings release (Tesla, Inc.)",0.09832004335371997,0.21971045908492695,0.0454439885422312,0.05672111687440329,0,120,10,TSLA,387.51,verified_option_abnormality_sampled_contracts
10,,0.04535174103566886,,0.039296989115582215,0.024737313292182983,2026-04-29,-0.04535174103566886,,-0.039296989115582215,-0.024737313292182983,cal_92ecfed8bb10,-0.062314470150308554,,-0.062314470150308554,-0.062314470150308554,0.008292889789379476,,-0.023653583376525344,-0.008669839325260331,MSFT earnings release (Microsoft Corporation),0.07060735993968814,,0.03866088677378322,0.05364463082504826,0,115,10,MSFT,424.46,verified_option_abnormality_sampled_contracts
10,,0.09898654873779233,,0.032393587617468134,0.05929611203243024,2026-04-30,0.09898654873779233,,0.032393587617468134,0.05929611203243024,cal_2a6defd4e9d8,0.012935691910816116,,0.025870646766169125,0.012935691910816116,0.10897365026718253,,0.05848535102266439,0.07658006264971418,AAPL earnings release (Apple Inc.),0.09603795835636642,,0.03261470425649538,0.06364437073889813,0,120,10,AAPL,271.35,verified_option_abnormality_sampled_contracts
10,,0.07714530280333842,,0.03074042371067831,0.04318424994650116,2026-04-30,0.07714530280333842,,0.03074042371067831,0.04318424994650116,cal_e583433f831d,0.009265996148084765,,0.009843783436764397,0.009843783436764397,0.09439439332334687,,0.053338326556815696,0.06621549325914833,LLY earnings release (Eli Lilly and Company),0.08512839717526217,,0.04349454312005146,0.05637170982238397,0,117,10,LLY,934.6,verified_option_abnormality_sampled_contracts
,22,,,0.008655510675129818,0.04726433405025432,2026-05-01,,,0.008655510675129818,-0.04726433405025432,cal_f8652e56fc48,,,-0.013943240833027226,-0.05822798090541881,,,0.016156953260242357,0.016156953260242357,CVX earnings release (Chevron Corporation),,,0.030100194093269684,0.07438493416566126,,22,,CVX,190.63,verified_option_abnormality_existing_matrix
,23,,,0.006153846153846176,0.05355155482815066,2026-05-01,,,0.006153846153846176,-0.05355155482815066,cal_d1990670b000,,,-0.021178396072013217,-0.057806219312602325,,,0.011260229132569632,0.016628477905073602,XOM earnings release (Exxon Mobil Corporation),,,0.03243862520458273,0.07443469721767595,,23,,XOM,152.75,verified_option_abnormality_existing_matrix
10,,,,0.18614535832911105,0.2618645499071104,2026-05-05,,,0.18614535832911105,0.2618645499071104,cal_315e3f91a9c2,,,0.1316782075099927,0.12897596126780386,,,0.2120700332151102,0.32076507346731975,"AMD earnings release (Advanced Micro Devices, Inc.)",,,0.08039182570511738,0.19178911219951583,0,120,10,AMD,355.26,verified_option_abnormality_sampled_contracts
10,,,,0.0030245746691872633,0.02192816635160677,2026-05-05,,,0.0030245746691872633,-0.02192816635160677,cal_aa6ecda8be07,,,-0.009073724007561346,-0.032136105860113395,,,0.008695652173912993,0.010207939508506625,"PFE earnings release (Pfizer, Inc.)",,,0.017769376181474436,0.042344045368619944,3,59,7,PFE,26.45,partial_contract_coverage_with_verified_option_abnormality
10,,,,0.04249585406301826,0.09872512437810932,2026-05-07,,,0.04249585406301826,0.09872512437810932,cal_ce405312dfec,,,-0.05265339966832505,-0.05265339966832505,,,0.04358416252072961,0.15232172470978433,"COIN earnings release (Coinbase Global, Inc.)",,,0.09623756218905469,0.2049751243781094,0,118,10,COIN,192.96,verified_option_abnormality_sampled_contracts
10,,,,0.34219903283278197,0.686815983710868,2026-05-07,,,0.34219903283278197,0.686815983710868,cal_19910898ca98,,,0.09277169763298554,0.09277169763298554,,,0.3441079155001274,0.6948320183252736,RKLB earnings release (Rocket Lab Corporation),,,0.2513362178671418,0.6020603206922881,6,48,4,RKLB,78.58,partial_contract_coverage_with_verified_option_abnormality
