association_class,available_symbol_count,event_count,family_key,max_label_count,measured_horizon_count,negative_direction_horizon_count,note,positive_direction_horizon_count,risk_material_metric_count,risk_positive_metric_count,screening_stability_status,threshold_grading_ready
scheduled_path_risk_association_not_directional_alpha,47,12,earnings_guidance_scheduled_shell,12,2,1,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,1,1,accepted_risk_control_prior_study,true
not_measured_required_precondition_missing,47,0,earnings_guidance_result_metrics,0,0,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,0,0,not_threshold_ready_precondition_or_data_gap,false
not_measured_required_precondition_missing,47,0,earnings_guidance_raise_cut_or_withdrawal,0,0,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,0,0,not_threshold_ready_precondition_or_data_gap,false
local_screening_risk_association_unaccepted,47,15,earnings_call_narrative_residual,319,3,1,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,2,1,3,expanded_screening_threshold_review_candidate,true
local_directional_candidate_unaccepted,47,5,equity_offering_dilution,78,3,2,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,1,5,5,expanded_screening_threshold_review_candidate,true
local_screening_risk_association_unaccepted,47,5,buyback_or_capital_return,141,3,3,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,3,4,expanded_screening_threshold_review_candidate,true
no_clear_local_association,47,6,mna_transaction,105,3,2,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,1,0,2,measured_no_clear_local_stability,false
local_directional_candidate_unaccepted,47,3,insider_or_ownership_change,51,2,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,2,0,2,thin_unstable_screening,false
local_screening_risk_association_unaccepted,47,4,legal_regulatory_investigation,52,3,1,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,2,3,3,thin_unstable_screening,false
not_measured_data_gap,47,0,accounting_restatement_or_fraud,0,0,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,0,0,not_threshold_ready_precondition_or_data_gap,false
local_directional_candidate_unaccepted,47,2,bankruptcy_or_restructuring,26,2,1,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,1,0,2,thin_unstable_screening,false
no_clear_local_association,47,11,product_launch_or_failure,241,3,3,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,3,4,measured_no_clear_local_stability,false
local_screening_risk_association_unaccepted,47,15,customer_contract_win_loss,338,3,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,3,2,3,expanded_screening_threshold_review_candidate,true
local_screening_risk_association_unaccepted,47,8,management_change,103,3,1,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,2,1,2,expanded_screening_threshold_review_candidate,true
local_directional_candidate_unaccepted,47,17,analyst_rating_or_price_target_change,377,3,1,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,2,2,2,expanded_screening_threshold_review_candidate,true
local_directional_candidate_unaccepted,47,14,supply_chain_disruption,320,3,2,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,1,3,3,expanded_screening_threshold_review_candidate,true
local_screening_risk_association_unaccepted,47,9,sector_regulation_policy,129,3,2,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,1,3,4,expanded_screening_threshold_review_candidate,true
local_directional_candidate_unaccepted,47,5,commodity_or_input_cost_shock,78,3,3,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,4,5,expanded_screening_threshold_review_candidate,true
no_clear_local_association,47,14,sector_demand_shock,351,3,1,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,2,0,0,measured_no_clear_local_stability,false
risk_volatility_association_not_directional_alpha,47,101,cpi_inflation_release,396,2,1,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,1,2,accepted_risk_control_prior_study,true
not_measured_data_gap,47,0,fomc_rates_policy,0,0,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,0,0,not_threshold_ready_precondition_or_data_gap,false
not_measured_required_precondition_missing,47,1,nfp_employment_release,27,3,2,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,1,3,4,not_threshold_ready_precondition_or_data_gap,false
not_measured_required_precondition_missing,47,2,treasury_yield_curve_shock,0,0,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,0,0,not_threshold_ready_precondition_or_data_gap,false
not_measured_data_gap,47,1,credit_liquidity_stress,0,0,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,0,0,not_threshold_ready_precondition_or_data_gap,false
not_measured_data_gap,47,2,geopolitical_or_fiscal_shock,0,0,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,0,0,not_threshold_ready_precondition_or_data_gap,false
not_measured_required_precondition_missing,47,6,price_action_pattern,105,3,2,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,1,3,5,not_threshold_ready_precondition_or_data_gap,false
not_measured_required_precondition_missing,47,0,residual_market_structure_disturbance,0,0,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,0,0,not_threshold_ready_precondition_or_data_gap,false
not_measured_required_precondition_missing,47,0,microstructure_liquidity_disruption,0,0,0,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,0,0,not_threshold_ready_precondition_or_data_gap,false
current_definition_no_accepted_association,47,152,option_derivatives_abnormality,152,2,1,Preparation-only stability screen; thresholds and grades are not assigned in this artifact.,0,1,1,definition_revision_required,false
