event_id,created_at,updated_at,underlying,expiration,option_right_type,strike,contract_symbol,triggered_indicators,evidence_window,triggering_trade,trade_side_evidence,sweep_or_block_context,open_interest_context,opening_or_closing_context,iv_context,iv_change,skew_direction,term_structure_direction,underlying_confirmation_or_divergence,direction_confidence,abnormality_evidence_coverage,quote_context,source_references,right_sample
opt_evt_DX8NPRLL,2026-04-24T09:36:16.917000-04:00,2026-05-15T06:47:00-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,"{""opening_activity"":{""current_standard"":{""min_volume_percentile_20d_same_time"":null,""min_window_volume"":100},""statistics"":{""contract_prior_window_volume"":65,""first_seen_in_window"":false,""volume_percentile_20d_same_time"":null,""volume_vs_prior_window_ratio"":7.907692307692308,""window_notional"":4188.09,""window_trade_count"":10,""window_volume"":514}},""trade_at_ask"":{""current_standard"":{""max_price_vs_ask"":0.01,""min_ask_touch_ratio"":0.95},""statistics"":{""ask"":8.0,""ask_touch_ratio"":1.0,""bid"":7.8,""bid_touch_ratio"":0.0,""mid"":7.9,""price_vs_ask"":0.0,""trade_notional"":8.0,""trade_price"":8.0}}}","{""timeframe"":""5Min"",""window_end"":""2026-04-24T09:40:00-04:00"",""window_start"":""2026-04-24T09:35:00-04:00""}","{""ask_touch_ratio"":1.0,""bid_touch_ratio"":0.0,""trade_notional"":8.0,""trade_price"":8.0,""trade_side_type"":""ask_side"",""trade_size"":1,""trade_timestamp"":""2026-04-24T09:36:16.917000-04:00""}","{""ask"":8.0,""ask_touch_ratio"":1.0,""bid"":7.8,""bid_touch_ratio"":0.0,""classification_method"":""quote_touch_inferred"",""coverage_status"":""present"",""price"":8.0,""trade_side_type"":""ask_side""}","{""classification"":""ordinary_print"",""condition"":18,""coverage_status"":""present"",""is_sweep_provider_flag"":null,""min_block_notional"":5000.0,""min_block_trade_size"":75.0,""sweep_condition_codes"":[],""trade_notional"":8.0,""trade_size"":1}","{""coverage_status"":""present"",""open_interest_after"":27955.0,""open_interest_before"":33143.0,""open_interest_change"":-5188.0,""source"":""thetadata_history_open_interest""}","{""classification"":""net_closing_activity"",""coverage_status"":""present"",""first_seen_in_window"":false,""open_interest_change"":-5188.0,""window_volume"":514}","{""coverage_status"":""present"",""implied_vol"":0.2832,""iv_change"":0.0010999999999999899,""iv_percentile_by_expiration"":null,""iv_zscore_by_expiration"":null}",0.0010999999999999899,put_skew_richening,front_month_richening,"{""classification"":""underlying_confirming"",""coverage_status"":""present"",""source"":""thetadata_history_greeks_underlying_price"",""underlying_return"":0.0009613962431592624}","{""abnormality_coverage_complete"":true,""confidence_score"":1.0,""confidence_status"":""evidence_complete"",""direction_hypothesis"":""bullish_activity"",""missing_fields"":[]}","{""abnormality_coverage_complete"":true,""coverage_status"":""complete"",""missing_fields"":[],""present_fields"":[""call_put_side"",""aggressor_or_quote_side"",""ask_bid_touch_context"",""sweep_or_block_context"",""opening_or_closing_context"",""open_interest_or_oi_change"",""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""]}","{""ask"":8.0,""bid"":7.8,""mid"":7.9,""spread"":0.20000000000000018,""timestamp"":""2026-04-24T09:36:16.778000-04:00""}","{""raw_persistence"":""not_persisted_by_default"",""source_provider_name"":""ThetaData Terminal v3""}",CALL
opt_evt_HVU664D4,2026-04-24T09:50:29.314000-04:00,2026-05-15T06:47:00-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,"{""trade_at_ask"":{""current_standard"":{""max_price_vs_ask"":0.01,""min_ask_touch_ratio"":0.95},""statistics"":{""ask"":8.5,""ask_touch_ratio"":1.0,""bid"":8.35,""bid_touch_ratio"":0.0,""mid"":8.425,""price_vs_ask"":0.0,""trade_notional"":85.0,""trade_price"":8.5}}}","{""timeframe"":""5Min"",""window_end"":""2026-04-24T09:55:00-04:00"",""window_start"":""2026-04-24T09:50:00-04:00""}","{""ask_touch_ratio"":1.0,""bid_touch_ratio"":0.0,""trade_notional"":85.0,""trade_price"":8.5,""trade_side_type"":""ask_side"",""trade_size"":10,""trade_timestamp"":""2026-04-24T09:50:29.314000-04:00""}","{""ask"":8.5,""ask_touch_ratio"":1.0,""bid"":8.35,""bid_touch_ratio"":0.0,""classification_method"":""quote_touch_inferred"",""coverage_status"":""present"",""price"":8.5,""trade_side_type"":""ask_side""}","{""classification"":""ordinary_print"",""condition"":18,""coverage_status"":""present"",""is_sweep_provider_flag"":null,""min_block_notional"":5000.0,""min_block_trade_size"":75.0,""sweep_condition_codes"":[],""trade_notional"":85.0,""trade_size"":10}","{""coverage_status"":""present"",""open_interest_after"":27955.0,""open_interest_before"":33143.0,""open_interest_change"":-5188.0,""source"":""thetadata_history_open_interest""}","{""classification"":""net_closing_activity"",""coverage_status"":""present"",""first_seen_in_window"":false,""open_interest_change"":-5188.0,""window_volume"":29}","{""coverage_status"":""present"",""implied_vol"":0.2788,""iv_change"":0.0,""iv_percentile_by_expiration"":null,""iv_zscore_by_expiration"":null}",0.0,put_skew_richening,front_month_richening,"{""classification"":""underlying_neutral"",""coverage_status"":""present"",""source"":""thetadata_history_greeks_underlying_price"",""underlying_return"":0.0}","{""abnormality_coverage_complete"":true,""confidence_score"":1.0,""confidence_status"":""evidence_complete"",""direction_hypothesis"":""bullish_activity"",""missing_fields"":[]}","{""abnormality_coverage_complete"":true,""coverage_status"":""complete"",""missing_fields"":[],""present_fields"":[""call_put_side"",""aggressor_or_quote_side"",""ask_bid_touch_context"",""sweep_or_block_context"",""opening_or_closing_context"",""open_interest_or_oi_change"",""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""]}","{""ask"":8.5,""bid"":8.35,""mid"":8.425,""spread"":0.15000000000000036,""timestamp"":""2026-04-24T09:50:29.168000-04:00""}","{""raw_persistence"":""not_persisted_by_default"",""source_provider_name"":""ThetaData Terminal v3""}",CALL
opt_evt_SPA9JHX3,2026-04-24T09:40:00.997000-04:00,2026-05-15T06:47:00-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,"{""opening_activity"":{""current_standard"":{""min_volume_percentile_20d_same_time"":null,""min_window_volume"":100},""statistics"":{""contract_prior_window_volume"":514,""first_seen_in_window"":false,""volume_percentile_20d_same_time"":null,""volume_vs_prior_window_ratio"":5.056420233463035,""window_notional"":20964.72,""window_trade_count"":33,""window_volume"":2599}},""trade_at_ask"":{""current_standard"":{""max_price_vs_ask"":0.01,""min_ask_touch_ratio"":0.95},""statistics"":{""ask"":8.15,""ask_touch_ratio"":1.0,""bid"":8.1,""bid_touch_ratio"":0.0,""mid"":8.125,""price_vs_ask"":0.0,""trade_notional"":4075.0,""trade_price"":8.15}}}","{""timeframe"":""5Min"",""window_end"":""2026-04-24T09:45:00-04:00"",""window_start"":""2026-04-24T09:40:00-04:00""}","{""ask_touch_ratio"":1.0,""bid_touch_ratio"":0.0,""trade_notional"":4075.0,""trade_price"":8.15,""trade_side_type"":""ask_side"",""trade_size"":500,""trade_timestamp"":""2026-04-24T09:40:00.997000-04:00""}","{""ask"":8.15,""ask_touch_ratio"":1.0,""bid"":8.1,""bid_touch_ratio"":0.0,""classification_method"":""quote_touch_inferred"",""coverage_status"":""present"",""price"":8.15,""trade_side_type"":""ask_side""}","{""classification"":""block_trade"",""condition"":18,""coverage_status"":""present"",""is_sweep_provider_flag"":null,""min_block_notional"":5000.0,""min_block_trade_size"":75.0,""sweep_condition_codes"":[],""trade_notional"":4075.0,""trade_size"":500}","{""coverage_status"":""present"",""open_interest_after"":27955.0,""open_interest_before"":33143.0,""open_interest_change"":-5188.0,""source"":""thetadata_history_open_interest""}","{""classification"":""net_closing_activity"",""coverage_status"":""present"",""first_seen_in_window"":false,""open_interest_change"":-5188.0,""window_volume"":2599}","{""coverage_status"":""present"",""implied_vol"":0.2786,""iv_change"":0.0,""iv_percentile_by_expiration"":null,""iv_zscore_by_expiration"":null}",0.0,put_skew_richening,front_month_richening,"{""classification"":""underlying_neutral"",""coverage_status"":""present"",""source"":""thetadata_history_greeks_underlying_price"",""underlying_return"":0.0}","{""abnormality_coverage_complete"":true,""confidence_score"":1.0,""confidence_status"":""evidence_complete"",""direction_hypothesis"":""bullish_activity"",""missing_fields"":[]}","{""abnormality_coverage_complete"":true,""coverage_status"":""complete"",""missing_fields"":[],""present_fields"":[""call_put_side"",""aggressor_or_quote_side"",""ask_bid_touch_context"",""sweep_or_block_context"",""opening_or_closing_context"",""open_interest_or_oi_change"",""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""]}","{""ask"":8.15,""bid"":8.1,""mid"":8.125,""spread"":0.05000000000000071,""timestamp"":""2026-04-24T09:40:00.800000-04:00""}","{""raw_persistence"":""not_persisted_by_default"",""source_provider_name"":""ThetaData Terminal v3""}",CALL
opt_evt_VEJ22V6W,2026-04-24T09:48:51.284000-04:00,2026-05-15T06:47:00-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,"{""trade_at_ask"":{""current_standard"":{""max_price_vs_ask"":0.01,""min_ask_touch_ratio"":0.95},""statistics"":{""ask"":8.35,""ask_touch_ratio"":1.0,""bid"":8.2,""bid_touch_ratio"":0.0,""mid"":8.274999999999999,""price_vs_ask"":0.0,""trade_notional"":25.049999999999997,""trade_price"":8.35}}}","{""timeframe"":""5Min"",""window_end"":""2026-04-24T09:50:00-04:00"",""window_start"":""2026-04-24T09:45:00-04:00""}","{""ask_touch_ratio"":1.0,""bid_touch_ratio"":0.0,""trade_notional"":25.049999999999997,""trade_price"":8.35,""trade_side_type"":""ask_side"",""trade_size"":3,""trade_timestamp"":""2026-04-24T09:48:51.284000-04:00""}","{""ask"":8.35,""ask_touch_ratio"":1.0,""bid"":8.2,""bid_touch_ratio"":0.0,""classification_method"":""quote_touch_inferred"",""coverage_status"":""present"",""price"":8.35,""trade_side_type"":""ask_side""}","{""classification"":""ordinary_print"",""condition"":18,""coverage_status"":""present"",""is_sweep_provider_flag"":null,""min_block_notional"":5000.0,""min_block_trade_size"":75.0,""sweep_condition_codes"":[],""trade_notional"":25.049999999999997,""trade_size"":3}","{""coverage_status"":""present"",""open_interest_after"":27955.0,""open_interest_before"":33143.0,""open_interest_change"":-5188.0,""source"":""thetadata_history_open_interest""}","{""classification"":""net_closing_activity"",""coverage_status"":""present"",""first_seen_in_window"":false,""open_interest_change"":-5188.0,""window_volume"":36}","{""coverage_status"":""present"",""implied_vol"":0.2789,""iv_change"":0.0011999999999999789,""iv_percentile_by_expiration"":null,""iv_zscore_by_expiration"":null}",0.0011999999999999789,put_skew_richening,front_month_richening,"{""classification"":""underlying_confirming"",""coverage_status"":""present"",""source"":""thetadata_history_greeks_underlying_price"",""underlying_return"":0.0007740793984296492}","{""abnormality_coverage_complete"":true,""confidence_score"":1.0,""confidence_status"":""evidence_complete"",""direction_hypothesis"":""bullish_activity"",""missing_fields"":[]}","{""abnormality_coverage_complete"":true,""coverage_status"":""complete"",""missing_fields"":[],""present_fields"":[""call_put_side"",""aggressor_or_quote_side"",""ask_bid_touch_context"",""sweep_or_block_context"",""opening_or_closing_context"",""open_interest_or_oi_change"",""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""]}","{""ask"":8.35,""bid"":8.2,""mid"":8.274999999999999,""spread"":0.15000000000000036,""timestamp"":""2026-04-24T09:48:50.905000-04:00""}","{""raw_persistence"":""not_persisted_by_default"",""source_provider_name"":""ThetaData Terminal v3""}",CALL
opt_evt_VJH84VUG,2026-04-24T09:30:02.267000-04:00,2026-05-15T06:47:00-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,"{""trade_at_ask"":{""current_standard"":{""max_price_vs_ask"":0.01,""min_ask_touch_ratio"":0.95},""statistics"":{""ask"":9.4,""ask_touch_ratio"":1.0,""bid"":8.85,""bid_touch_ratio"":0.0,""mid"":9.125,""price_vs_ask"":0.0,""trade_notional"":9.4,""trade_price"":9.4}}}","{""timeframe"":""5Min"",""window_end"":""2026-04-24T09:35:00-04:00"",""window_start"":""2026-04-24T09:30:00-04:00""}","{""ask_touch_ratio"":1.0,""bid_touch_ratio"":0.0,""trade_notional"":9.4,""trade_price"":9.4,""trade_side_type"":""ask_side"",""trade_size"":1,""trade_timestamp"":""2026-04-24T09:30:02.267000-04:00""}","{""ask"":9.4,""ask_touch_ratio"":1.0,""bid"":8.85,""bid_touch_ratio"":0.0,""classification_method"":""quote_touch_inferred"",""coverage_status"":""present"",""price"":9.4,""trade_side_type"":""ask_side""}","{""classification"":""ordinary_print"",""condition"":134,""coverage_status"":""present"",""is_sweep_provider_flag"":null,""min_block_notional"":5000.0,""min_block_trade_size"":75.0,""sweep_condition_codes"":[],""trade_notional"":9.4,""trade_size"":1}","{""coverage_status"":""present"",""open_interest_after"":27955.0,""open_interest_before"":33143.0,""open_interest_change"":-5188.0,""source"":""thetadata_history_open_interest""}","{""classification"":""net_closing_activity"",""coverage_status"":""present"",""first_seen_in_window"":true,""open_interest_change"":-5188.0,""window_volume"":65}","{""coverage_status"":""missing"",""implied_vol"":null,""iv_change"":null,""iv_percentile_by_expiration"":null,""iv_zscore_by_expiration"":null}",,,,"{""classification"":null,""coverage_status"":""missing"",""underlying_return"":null}","{""abnormality_coverage_complete"":false,""confidence_score"":0.6,""confidence_status"":""insufficient_evidence"",""direction_hypothesis"":""bullish_activity"",""missing_fields"":[""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""]}","{""abnormality_coverage_complete"":false,""coverage_status"":""partial"",""missing_fields"":[""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""],""present_fields"":[""call_put_side"",""aggressor_or_quote_side"",""ask_bid_touch_context"",""sweep_or_block_context"",""opening_or_closing_context"",""open_interest_or_oi_change""]}","{""ask"":9.4,""bid"":8.85,""mid"":9.125,""spread"":0.5500000000000007,""timestamp"":""2026-04-24T09:30:02.263000-04:00""}","{""raw_persistence"":""not_persisted_by_default"",""source_provider_name"":""ThetaData Terminal v3""}",CALL
opt_evt_2B8AZ5XF,2026-04-24T09:30:23.185000-04:00,2026-05-15T06:47:00-04:00,AAPL,2026-05-15,PUT,270.0,AAPL 2026-05-15 270P,"{""trade_at_ask"":{""current_standard"":{""max_price_vs_ask"":0.01,""min_ask_touch_ratio"":0.95},""statistics"":{""ask"":6.25,""ask_touch_ratio"":1.0,""bid"":6.05,""bid_touch_ratio"":0.0,""mid"":6.15,""price_vs_ask"":0.0,""trade_notional"":6.25,""trade_price"":6.25}}}","{""timeframe"":""5Min"",""window_end"":""2026-04-24T09:35:00-04:00"",""window_start"":""2026-04-24T09:30:00-04:00""}","{""ask_touch_ratio"":1.0,""bid_touch_ratio"":0.0,""trade_notional"":6.25,""trade_price"":6.25,""trade_side_type"":""ask_side"",""trade_size"":1,""trade_timestamp"":""2026-04-24T09:30:23.185000-04:00""}","{""ask"":6.25,""ask_touch_ratio"":1.0,""bid"":6.05,""bid_touch_ratio"":0.0,""classification_method"":""quote_touch_inferred"",""coverage_status"":""present"",""price"":6.25,""trade_side_type"":""ask_side""}","{""classification"":""ordinary_print"",""condition"":18,""coverage_status"":""present"",""is_sweep_provider_flag"":null,""min_block_notional"":5000.0,""min_block_trade_size"":75.0,""sweep_condition_codes"":[],""trade_notional"":6.25,""trade_size"":1}","{""coverage_status"":""present"",""open_interest_after"":14478.0,""open_interest_before"":14574.0,""open_interest_change"":-96.0,""source"":""thetadata_history_open_interest""}","{""classification"":""net_closing_activity"",""coverage_status"":""present"",""first_seen_in_window"":true,""open_interest_change"":-96.0,""window_volume"":13}","{""coverage_status"":""missing"",""implied_vol"":null,""iv_change"":null,""iv_percentile_by_expiration"":null,""iv_zscore_by_expiration"":null}",,,,"{""classification"":null,""coverage_status"":""missing"",""underlying_return"":null}","{""abnormality_coverage_complete"":false,""confidence_score"":0.6,""confidence_status"":""insufficient_evidence"",""direction_hypothesis"":""bearish_activity"",""missing_fields"":[""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""]}","{""abnormality_coverage_complete"":false,""coverage_status"":""partial"",""missing_fields"":[""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""],""present_fields"":[""call_put_side"",""aggressor_or_quote_side"",""ask_bid_touch_context"",""sweep_or_block_context"",""opening_or_closing_context"",""open_interest_or_oi_change""]}","{""ask"":6.25,""bid"":6.05,""mid"":6.15,""spread"":0.20000000000000018,""timestamp"":""2026-04-24T09:30:23.178000-04:00""}","{""raw_persistence"":""not_persisted_by_default"",""source_provider_name"":""ThetaData Terminal v3""}",PUT
opt_evt_8VME6FGT,2026-04-24T09:45:07.179000-04:00,2026-05-15T06:47:00-04:00,AAPL,2026-05-15,PUT,270.0,AAPL 2026-05-15 270P,"{""trade_at_bid"":{""current_standard"":{""max_price_vs_bid"":0.01,""min_bid_touch_ratio"":0.95},""statistics"":{""ask"":6.65,""bid"":6.55,""bid_touch_ratio"":1.0,""mid"":6.6,""trade_notional"":6.55,""trade_price"":6.55}}}","{""timeframe"":""5Min"",""window_end"":""2026-04-24T09:50:00-04:00"",""window_start"":""2026-04-24T09:45:00-04:00""}","{""ask_touch_ratio"":0.0,""bid_touch_ratio"":1.0,""trade_notional"":6.55,""trade_price"":6.55,""trade_side_type"":""bid_side"",""trade_size"":1,""trade_timestamp"":""2026-04-24T09:45:07.179000-04:00""}","{""ask"":6.65,""ask_touch_ratio"":0.0,""bid"":6.55,""bid_touch_ratio"":1.0,""classification_method"":""quote_touch_inferred"",""coverage_status"":""present"",""price"":6.55,""trade_side_type"":""bid_side""}","{""classification"":""ordinary_print"",""condition"":18,""coverage_status"":""present"",""is_sweep_provider_flag"":null,""min_block_notional"":5000.0,""min_block_trade_size"":75.0,""sweep_condition_codes"":[],""trade_notional"":6.55,""trade_size"":1}","{""coverage_status"":""present"",""open_interest_after"":14478.0,""open_interest_before"":14574.0,""open_interest_change"":-96.0,""source"":""thetadata_history_open_interest""}","{""classification"":""net_closing_activity"",""coverage_status"":""present"",""first_seen_in_window"":false,""open_interest_change"":-96.0,""window_volume"":8}","{""coverage_status"":""present"",""implied_vol"":0.2904,""iv_change"":0.0,""iv_percentile_by_expiration"":null,""iv_zscore_by_expiration"":null}",0.0,put_skew_richening,front_month_richening,"{""classification"":""underlying_neutral"",""coverage_status"":""present"",""source"":""thetadata_history_greeks_underlying_price"",""underlying_return"":0.0}","{""abnormality_coverage_complete"":true,""confidence_score"":1.0,""confidence_status"":""evidence_complete"",""direction_hypothesis"":""bullish_activity_or_put_selling"",""missing_fields"":[]}","{""abnormality_coverage_complete"":true,""coverage_status"":""complete"",""missing_fields"":[],""present_fields"":[""call_put_side"",""aggressor_or_quote_side"",""ask_bid_touch_context"",""sweep_or_block_context"",""opening_or_closing_context"",""open_interest_or_oi_change"",""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""]}","{""ask"":6.65,""bid"":6.55,""mid"":6.6,""spread"":0.10000000000000053,""timestamp"":""2026-04-24T09:45:06.728000-04:00""}","{""raw_persistence"":""not_persisted_by_default"",""source_provider_name"":""ThetaData Terminal v3""}",PUT
opt_evt_RB5469ZK,2026-04-24T09:53:35.678000-04:00,2026-05-15T06:47:00-04:00,AAPL,2026-05-15,PUT,270.0,AAPL 2026-05-15 270P,"{""trade_at_ask"":{""current_standard"":{""max_price_vs_ask"":0.01,""min_ask_touch_ratio"":0.95},""statistics"":{""ask"":6.35,""ask_touch_ratio"":1.0,""bid"":6.25,""bid_touch_ratio"":0.0,""mid"":6.3,""price_vs_ask"":0.0,""trade_notional"":6.35,""trade_price"":6.35}}}","{""timeframe"":""5Min"",""window_end"":""2026-04-24T09:55:00-04:00"",""window_start"":""2026-04-24T09:50:00-04:00""}","{""ask_touch_ratio"":1.0,""bid_touch_ratio"":0.0,""trade_notional"":6.35,""trade_price"":6.35,""trade_side_type"":""ask_side"",""trade_size"":1,""trade_timestamp"":""2026-04-24T09:53:35.678000-04:00""}","{""ask"":6.35,""ask_touch_ratio"":1.0,""bid"":6.25,""bid_touch_ratio"":0.0,""classification_method"":""quote_touch_inferred"",""coverage_status"":""present"",""price"":6.35,""trade_side_type"":""ask_side""}","{""classification"":""ordinary_print"",""condition"":18,""coverage_status"":""present"",""is_sweep_provider_flag"":null,""min_block_notional"":5000.0,""min_block_trade_size"":75.0,""sweep_condition_codes"":[],""trade_notional"":6.35,""trade_size"":1}","{""coverage_status"":""present"",""open_interest_after"":14478.0,""open_interest_before"":14574.0,""open_interest_change"":-96.0,""source"":""thetadata_history_open_interest""}","{""classification"":""net_closing_activity"",""coverage_status"":""present"",""first_seen_in_window"":false,""open_interest_change"":-96.0,""window_volume"":3}","{""coverage_status"":""present"",""implied_vol"":0.2891,""iv_change"":-0.00019999999999997797,""iv_percentile_by_expiration"":null,""iv_zscore_by_expiration"":null}",-0.00019999999999997797,put_skew_richening,front_month_richening,"{""classification"":""underlying_diverging"",""coverage_status"":""present"",""source"":""thetadata_history_greeks_underlying_price"",""underlying_return"":0.0004048284999262358}","{""abnormality_coverage_complete"":true,""confidence_score"":1.0,""confidence_status"":""evidence_complete"",""direction_hypothesis"":""bearish_activity"",""missing_fields"":[]}","{""abnormality_coverage_complete"":true,""coverage_status"":""complete"",""missing_fields"":[],""present_fields"":[""call_put_side"",""aggressor_or_quote_side"",""ask_bid_touch_context"",""sweep_or_block_context"",""opening_or_closing_context"",""open_interest_or_oi_change"",""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""]}","{""ask"":6.35,""bid"":6.25,""mid"":6.3,""spread"":0.09999999999999964,""timestamp"":""2026-04-24T09:53:35.243000-04:00""}","{""raw_persistence"":""not_persisted_by_default"",""source_provider_name"":""ThetaData Terminal v3""}",PUT
opt_evt_SKY9CEHX,2026-04-24T09:36:44.752000-04:00,2026-05-15T06:47:00-04:00,AAPL,2026-05-15,PUT,270.0,AAPL 2026-05-15 270P,"{""trade_at_ask"":{""current_standard"":{""max_price_vs_ask"":0.01,""min_ask_touch_ratio"":0.95},""statistics"":{""ask"":6.95,""ask_touch_ratio"":1.0,""bid"":6.8,""bid_touch_ratio"":0.0,""mid"":6.875,""price_vs_ask"":0.0,""trade_notional"":20.85,""trade_price"":6.95}}}","{""timeframe"":""5Min"",""window_end"":""2026-04-24T09:40:00-04:00"",""window_start"":""2026-04-24T09:35:00-04:00""}","{""ask_touch_ratio"":1.0,""bid_touch_ratio"":0.0,""trade_notional"":20.85,""trade_price"":6.95,""trade_side_type"":""ask_side"",""trade_size"":3,""trade_timestamp"":""2026-04-24T09:36:44.752000-04:00""}","{""ask"":6.95,""ask_touch_ratio"":1.0,""bid"":6.8,""bid_touch_ratio"":0.0,""classification_method"":""quote_touch_inferred"",""coverage_status"":""present"",""price"":6.95,""trade_side_type"":""ask_side""}","{""classification"":""ordinary_print"",""condition"":18,""coverage_status"":""present"",""is_sweep_provider_flag"":null,""min_block_notional"":5000.0,""min_block_trade_size"":75.0,""sweep_condition_codes"":[],""trade_notional"":20.85,""trade_size"":3}","{""coverage_status"":""present"",""open_interest_after"":14478.0,""open_interest_before"":14574.0,""open_interest_change"":-96.0,""source"":""thetadata_history_open_interest""}","{""classification"":""net_closing_activity"",""coverage_status"":""present"",""first_seen_in_window"":false,""open_interest_change"":-96.0,""window_volume"":46}","{""coverage_status"":""present"",""implied_vol"":0.2916,""iv_change"":-0.0011999999999999789,""iv_percentile_by_expiration"":null,""iv_zscore_by_expiration"":null}",-0.0011999999999999789,put_skew_richening,front_month_richening,"{""classification"":""underlying_diverging"",""coverage_status"":""present"",""source"":""thetadata_history_greeks_underlying_price"",""underlying_return"":0.0009613962431592624}","{""abnormality_coverage_complete"":true,""confidence_score"":1.0,""confidence_status"":""evidence_complete"",""direction_hypothesis"":""bearish_activity"",""missing_fields"":[]}","{""abnormality_coverage_complete"":true,""coverage_status"":""complete"",""missing_fields"":[],""present_fields"":[""call_put_side"",""aggressor_or_quote_side"",""ask_bid_touch_context"",""sweep_or_block_context"",""opening_or_closing_context"",""open_interest_or_oi_change"",""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""]}","{""ask"":6.95,""bid"":6.8,""mid"":6.875,""spread"":0.15000000000000036,""timestamp"":""2026-04-24T09:36:44.713000-04:00""}","{""raw_persistence"":""not_persisted_by_default"",""source_provider_name"":""ThetaData Terminal v3""}",PUT
opt_evt_V2QMJKRP,2026-04-24T09:44:07.106000-04:00,2026-05-15T06:47:00-04:00,AAPL,2026-05-15,PUT,270.0,AAPL 2026-05-15 270P,"{""trade_at_bid"":{""current_standard"":{""max_price_vs_bid"":0.01,""min_bid_touch_ratio"":0.95},""statistics"":{""ask"":6.8,""bid"":6.65,""bid_touch_ratio"":1.0,""mid"":6.725,""trade_notional"":6.65,""trade_price"":6.65}}}","{""timeframe"":""5Min"",""window_end"":""2026-04-24T09:45:00-04:00"",""window_start"":""2026-04-24T09:40:00-04:00""}","{""ask_touch_ratio"":0.0,""bid_touch_ratio"":1.0,""trade_notional"":6.65,""trade_price"":6.65,""trade_side_type"":""bid_side"",""trade_size"":1,""trade_timestamp"":""2026-04-24T09:44:07.106000-04:00""}","{""ask"":6.8,""ask_touch_ratio"":0.0,""bid"":6.65,""bid_touch_ratio"":1.0,""classification_method"":""quote_touch_inferred"",""coverage_status"":""present"",""price"":6.65,""trade_side_type"":""bid_side""}","{""classification"":""ordinary_print"",""condition"":18,""coverage_status"":""present"",""is_sweep_provider_flag"":null,""min_block_notional"":5000.0,""min_block_trade_size"":75.0,""sweep_condition_codes"":[],""trade_notional"":6.65,""trade_size"":1}","{""coverage_status"":""present"",""open_interest_after"":14478.0,""open_interest_before"":14574.0,""open_interest_change"":-96.0,""source"":""thetadata_history_open_interest""}","{""classification"":""net_closing_activity"",""coverage_status"":""present"",""first_seen_in_window"":false,""open_interest_change"":-96.0,""window_volume"":2}","{""coverage_status"":""present"",""implied_vol"":0.2894,""iv_change"":0.0007999999999999674,""iv_percentile_by_expiration"":null,""iv_zscore_by_expiration"":null}",0.0007999999999999674,put_skew_richening,front_month_richening,"{""classification"":""underlying_diverging"",""coverage_status"":""present"",""source"":""thetadata_history_greeks_underlying_price"",""underlying_return"":-0.0010693609646374145}","{""abnormality_coverage_complete"":true,""confidence_score"":1.0,""confidence_status"":""evidence_complete"",""direction_hypothesis"":""bullish_activity_or_put_selling"",""missing_fields"":[]}","{""abnormality_coverage_complete"":true,""coverage_status"":""complete"",""missing_fields"":[],""present_fields"":[""call_put_side"",""aggressor_or_quote_side"",""ask_bid_touch_context"",""sweep_or_block_context"",""opening_or_closing_context"",""open_interest_or_oi_change"",""iv_level_and_change"",""skew_direction"",""term_structure_direction"",""underlying_confirmation_or_divergence""]}","{""ask"":6.8,""bid"":6.65,""mid"":6.725,""spread"":0.14999999999999947,""timestamp"":""2026-04-24T09:44:07.094000-04:00""}","{""raw_persistence"":""not_persisted_by_default"",""source_provider_name"":""ThetaData Terminal v3""}",PUT
