event_id,right,contract_symbol,created_at,triggered_summary,trade_side_type,direction_hypothesis,confidence_status,confidence_score,abnormality_coverage_complete,coverage_status,present_fields,missing_fields,source_detail_path
opt_evt_24ZLYP2S,CALL,AAPL 2026-05-15 270C,2026-04-24T09:50:29.314000-04:00,trade_at_ask,ask_side,bullish_activity,insufficient_evidence,0.4,False,partial,call_put_side;aggressor_or_quote_side;ask_bid_touch_context;sweep_or_block_context,opening_or_closing_context;open_interest_or_oi_change;iv_level_and_change;skew_direction;term_structure_direction;underlying_confirmation_or_divergence,/root/projects/trading-data/storage/option_abnormality_coverage_probe_20260515/call/runs/option_abnormality_coverage_probe_aapl_call_20260515/saved/opt_evt_24ZLYP2S.csv
opt_evt_F23V4SFU,CALL,AAPL 2026-05-15 270C,2026-04-24T09:40:00.997000-04:00,opening_activity;trade_at_ask,ask_side,bullish_activity,insufficient_evidence,0.4,False,partial,call_put_side;aggressor_or_quote_side;ask_bid_touch_context;sweep_or_block_context,opening_or_closing_context;open_interest_or_oi_change;iv_level_and_change;skew_direction;term_structure_direction;underlying_confirmation_or_divergence,/root/projects/trading-data/storage/option_abnormality_coverage_probe_20260515/call/runs/option_abnormality_coverage_probe_aapl_call_20260515/saved/opt_evt_F23V4SFU.csv
opt_evt_GEHXYW6F,CALL,AAPL 2026-05-15 270C,2026-04-24T09:36:16.917000-04:00,opening_activity;trade_at_ask,ask_side,bullish_activity,insufficient_evidence,0.4,False,partial,call_put_side;aggressor_or_quote_side;ask_bid_touch_context;sweep_or_block_context,opening_or_closing_context;open_interest_or_oi_change;iv_level_and_change;skew_direction;term_structure_direction;underlying_confirmation_or_divergence,/root/projects/trading-data/storage/option_abnormality_coverage_probe_20260515/call/runs/option_abnormality_coverage_probe_aapl_call_20260515/saved/opt_evt_GEHXYW6F.csv
opt_evt_K3N7T37V,CALL,AAPL 2026-05-15 270C,2026-04-24T09:48:51.284000-04:00,trade_at_ask,ask_side,bullish_activity,insufficient_evidence,0.4,False,partial,call_put_side;aggressor_or_quote_side;ask_bid_touch_context;sweep_or_block_context,opening_or_closing_context;open_interest_or_oi_change;iv_level_and_change;skew_direction;term_structure_direction;underlying_confirmation_or_divergence,/root/projects/trading-data/storage/option_abnormality_coverage_probe_20260515/call/runs/option_abnormality_coverage_probe_aapl_call_20260515/saved/opt_evt_K3N7T37V.csv
opt_evt_WDUQFMAU,CALL,AAPL 2026-05-15 270C,2026-04-24T09:30:02.267000-04:00,trade_at_ask,ask_side,bullish_activity,insufficient_evidence,0.4,False,partial,call_put_side;aggressor_or_quote_side;ask_bid_touch_context;sweep_or_block_context,opening_or_closing_context;open_interest_or_oi_change;iv_level_and_change;skew_direction;term_structure_direction;underlying_confirmation_or_divergence,/root/projects/trading-data/storage/option_abnormality_coverage_probe_20260515/call/runs/option_abnormality_coverage_probe_aapl_call_20260515/saved/opt_evt_WDUQFMAU.csv
opt_evt_A43MRDJ5,PUT,AAPL 2026-05-15 270P,2026-04-24T09:45:07.179000-04:00,trade_at_bid,bid_side,bullish_activity_or_put_selling,insufficient_evidence,0.4,False,partial,call_put_side;aggressor_or_quote_side;ask_bid_touch_context;sweep_or_block_context,opening_or_closing_context;open_interest_or_oi_change;iv_level_and_change;skew_direction;term_structure_direction;underlying_confirmation_or_divergence,/root/projects/trading-data/storage/option_abnormality_coverage_probe_20260515/put/runs/option_abnormality_coverage_probe_aapl_put_20260515/saved/opt_evt_A43MRDJ5.csv
opt_evt_E9P4LW62,PUT,AAPL 2026-05-15 270P,2026-04-24T09:53:35.678000-04:00,trade_at_ask,ask_side,bearish_activity,insufficient_evidence,0.4,False,partial,call_put_side;aggressor_or_quote_side;ask_bid_touch_context;sweep_or_block_context,opening_or_closing_context;open_interest_or_oi_change;iv_level_and_change;skew_direction;term_structure_direction;underlying_confirmation_or_divergence,/root/projects/trading-data/storage/option_abnormality_coverage_probe_20260515/put/runs/option_abnormality_coverage_probe_aapl_put_20260515/saved/opt_evt_E9P4LW62.csv
opt_evt_RWFCGEZQ,PUT,AAPL 2026-05-15 270P,2026-04-24T09:44:07.106000-04:00,trade_at_bid,bid_side,bullish_activity_or_put_selling,insufficient_evidence,0.4,False,partial,call_put_side;aggressor_or_quote_side;ask_bid_touch_context;sweep_or_block_context,opening_or_closing_context;open_interest_or_oi_change;iv_level_and_change;skew_direction;term_structure_direction;underlying_confirmation_or_divergence,/root/projects/trading-data/storage/option_abnormality_coverage_probe_20260515/put/runs/option_abnormality_coverage_probe_aapl_put_20260515/saved/opt_evt_RWFCGEZQ.csv
opt_evt_XZZRQ8BH,PUT,AAPL 2026-05-15 270P,2026-04-24T09:36:44.752000-04:00,trade_at_ask,ask_side,bearish_activity,insufficient_evidence,0.4,False,partial,call_put_side;aggressor_or_quote_side;ask_bid_touch_context;sweep_or_block_context,opening_or_closing_context;open_interest_or_oi_change;iv_level_and_change;skew_direction;term_structure_direction;underlying_confirmation_or_divergence,/root/projects/trading-data/storage/option_abnormality_coverage_probe_20260515/put/runs/option_abnormality_coverage_probe_aapl_put_20260515/saved/opt_evt_XZZRQ8BH.csv
opt_evt_Y9TRCHDV,PUT,AAPL 2026-05-15 270P,2026-04-24T09:30:23.185000-04:00,trade_at_ask,ask_side,bearish_activity,insufficient_evidence,0.4,False,partial,call_put_side;aggressor_or_quote_side;ask_bid_touch_context;sweep_or_block_context,opening_or_closing_context;open_interest_or_oi_change;iv_level_and_change;skew_direction;term_structure_direction;underlying_confirmation_or_divergence,/root/projects/trading-data/storage/option_abnormality_coverage_probe_20260515/put/runs/option_abnormality_coverage_probe_aapl_put_20260515/saved/opt_evt_Y9TRCHDV.csv
