complete_option_event_count,direction_hypothesis_count,direction_hypothesis_summary,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_date,event_directional_fwd_10d,event_directional_fwd_14d,event_directional_fwd_1d,event_directional_fwd_5d,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,shell_status,symbol
22,4,bearish_activity:6;bullish_activity:10;bullish_activity_or_put_selling:2;mixed_or_conflicting_activity:4,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,2026-04-17,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,-0.01909484513192472,-0.01909484513192472,0.00022203308292945145,-0.017873663175813292,0.06287236798282958,0.08104207526921492,0.01496873034082058,0.020501054657143802,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,non_earnings_window,AAPL
22,5,bearish_activity:4;bearish_activity_or_call_selling:1;bullish_activity:10;bullish_activity_or_put_selling:6;mixed_or_conflicting_activity:1,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,2026-04-24,0.0821220394008706,0.10016232568435024,-0.01272780934110529,0.03349811849774942,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,non_earnings_window,AAPL
22,2,bearish_activity:11;bullish_activity:11,,,0.011815520811023106,0.04704790461911901,2026-05-01,,,-0.011815520811023106,0.04704790461911901,,,-0.01884736203326909,-0.01884736203326909,,,0.0017491254372814513,0.05218819161847654,,,0.020596487470550463,0.07103555365174556,non_earnings_window,AAPL
22,5,bearish_activity:4;bearish_activity_or_call_selling:2;bullish_activity:9;bullish_activity_or_put_selling:4;mixed_or_conflicting_activity:3,0.2950896224720716,0.46722224217823927,0.0123567656884227,0.2493624052588097,2026-04-17,0.2950896224720716,0.46722224217823927,-0.0123567656884227,0.2493624052588097,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,0.303171809332232,0.5467509608822159,0.03311900571141213,0.26796939545242293,0.3261252200150868,0.5697043715650707,0.056072416394267084,0.2909228061352779,non_earnings_window,AMD
22,5,bearish_activity:5;bearish_activity_or_call_selling:1;bullish_activity:9;bullish_activity_or_put_selling:5;mixed_or_conflicting_activity:2,0.30873177884477165,0.2929472988125701,0.03789425260918322,0.03660044277047825,2026-04-24,0.30873177884477165,0.2929472988125701,-0.03789425260918322,0.03660044277047825,-0.10870877778097232,-0.10870877778097232,-0.054627526523101655,-0.10870877778097232,0.3118944251171618,0.3490555188177453,0.0040251861648601395,0.04306949196400334,0.4206032028981341,0.4577642965987176,0.05865271268796175,0.15177826974497577,non_earnings_window,AMD
23,5,bearish_activity:4;bearish_activity_or_call_selling:4;bullish_activity:7;bullish_activity_or_put_selling:5;mixed_or_conflicting_activity:3,,,0.05269872968325284,0.2625228823431518,2026-05-01,,,-0.05269872968325284,0.2625228823431518,,,-0.060575802962223424,-0.060575802962223424,,,0.003633438730792804,0.2655738614300771,,,0.06420924169301612,0.32614966439230053,non_earnings_window,AMD
22,5,bearish_activity:3;bearish_activity_or_call_selling:2;bullish_activity:9;bullish_activity_or_put_selling:5;mixed_or_conflicting_activity:3,0.07308680269471246,0.0647991082246886,0.025687006252120392,0.03179372849319051,2026-04-17,-0.07308680269471246,-0.0647991082246886,0.025687006252120392,-0.03179372849319051,-0.13914602820724087,-0.13914602820724087,-0.030582077254882933,-0.06019483351911992,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.16808025977802551,0.16808025977802551,0.05951630882566762,0.08912906508990459,non_earnings_window,COIN
22,4,bearish_activity:2;bearish_activity_or_call_selling:4;bullish_activity:5;mixed_or_conflicting_activity:11,0.0069580017019572615,0.06127046103018463,0.015467787956149559,0.042649046403363866,2026-04-24,0.0069580017019572615,0.06127046103018463,-0.015467787956149559,-0.042649046403363866,-0.11087750913550587,-0.11087750913550587,-0.022626019922911356,-0.11087750913550587,0.04560244280923054,0.11303999599539472,0.02362717124693403,0.02362717124693403,0.1564799519447364,0.22391750513090053,0.046253191169845366,0.13450468038243982,non_earnings_window,COIN
22,5,bearish_activity:2;bearish_activity_or_call_selling:1;bullish_activity:2;bullish_activity_or_put_selling:4;mixed_or_conflicting_activity:13,,,0.061385620915032746,0.05181699346405222,2026-05-01,,,0.061385620915032746,0.05181699346405222,,,0.034524967320261446,-0.044183006535947644,,,0.0808366013071895,0.09218300653594769,,,0.04631163398692812,0.13636601307189533,non_earnings_window,COIN
22,5,bearish_activity:6;bearish_activity_or_call_selling:3;bullish_activity:3;bullish_activity_or_put_selling:2;mixed_or_conflicting_activity:8,0.03608891787597135,0.00809826621012022,0.004021957715093283,0.006630795151910451,2026-04-17,0.03608891787597135,-0.00809826621012022,-0.004021957715093283,0.006630795151910451,-0.008967878689059239,-0.024240447850426672,-0.006304690472308305,-0.008967878689059239,0.05511169085276357,0.05511169085276357,0.012391977824881772,0.029512473503994663,0.06407956954182288,0.07935213870319036,0.01869666829719005,0.03848035219305388,non_earnings_window,CVX
