direction_hypothesis,direction_sign,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_base_close,event_count,event_date,event_fwd_10d,event_fwd_14d,event_fwd_1d,event_fwd_5d,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,event_prior_1d_abs_return,event_prior_1d_return,matched_control_count,symbol
bearish_activity,-1,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,270.23,6,2026-04-17,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,-0.01909484513192472,-0.01909484513192472,0.00022203308292945145,-0.017873663175813292,0.06287236798282958,0.08104207526921492,0.01496873034082058,0.020501054657143802,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,0.025930144267274358,0.025930144267274358,3,AAPL
bullish_activity,1,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,270.23,10,2026-04-17,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,-0.01909484513192472,-0.01909484513192472,0.00022203308292945145,-0.017873663175813292,0.06287236798282958,0.08104207526921492,0.01496873034082058,0.020501054657143802,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,0.025930144267274358,0.025930144267274358,3,AAPL
bullish_activity_or_put_selling,0,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,270.23,2,2026-04-17,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,-0.01909484513192472,-0.01909484513192472,0.00022203308292945145,-0.017873663175813292,0.06287236798282958,0.08104207526921492,0.01496873034082058,0.020501054657143802,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,0.025930144267274358,0.025930144267274358,3,AAPL
mixed_or_conflicting_activity,0,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,270.23,4,2026-04-17,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,-0.01909484513192472,-0.01909484513192472,0.00022203308292945145,-0.017873663175813292,0.06287236798282958,0.08104207526921492,0.01496873034082058,0.020501054657143802,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,0.025930144267274358,0.025930144267274358,3,AAPL
bearish_activity,-1,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,271.06,4,2026-04-24,0.0821220394008706,0.10016232568435024,-0.01272780934110529,0.03349811849774942,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,0.008667666313133204,-0.008667666313133204,3,AAPL
bearish_activity_or_call_selling,0,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,271.06,1,2026-04-24,0.0821220394008706,0.10016232568435024,-0.01272780934110529,0.03349811849774942,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,0.008667666313133204,-0.008667666313133204,3,AAPL
bullish_activity,1,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,271.06,10,2026-04-24,0.0821220394008706,0.10016232568435024,-0.01272780934110529,0.03349811849774942,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,0.008667666313133204,-0.008667666313133204,3,AAPL
bullish_activity_or_put_selling,0,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,271.06,6,2026-04-24,0.0821220394008706,0.10016232568435024,-0.01272780934110529,0.03349811849774942,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,0.008667666313133204,-0.008667666313133204,3,AAPL
mixed_or_conflicting_activity,0,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,271.06,1,2026-04-24,0.0821220394008706,0.10016232568435024,-0.01272780934110529,0.03349811849774942,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,0.008667666313133204,-0.008667666313133204,3,AAPL
bearish_activity,-1,,,0.011815520811023106,0.04704790461911901,280.14,11,2026-05-01,,,-0.011815520811023106,0.04704790461911901,,,-0.01884736203326909,-0.01884736203326909,,,0.0017491254372814513,0.05218819161847654,,,0.020596487470550463,0.07103555365174556,0.032393587617468134,0.032393587617468134,3,AAPL
