event_id,created_at,underlying,expiration,option_right,strike,contract_symbol,activity_hypothesis,activity_direction_class,direction_sign,option_payoff_position,trade_side_type,trade_price,trade_size,quote_bid,quote_ask,quote_spread,ask_touch_ratio,window_volume,underlying_close_2026_04_24,underlying_fwd_1d,underlying_fwd_5d,underlying_fwd_10d,underlying_mfe_1d,underlying_mae_1d,underlying_path_range_1d,underlying_mfe_5d,underlying_mae_5d,underlying_path_range_5d,underlying_mfe_10d,underlying_mae_10d,underlying_path_range_10d,option_contract_long_fwd_1d,option_contract_long_fwd_5d,option_contract_long_fwd_10d,option_contract_long_fwd_14d,directional_underlying_fwd_1d,directional_underlying_fwd_5d,directional_underlying_fwd_10d,option_contract_long_hit_1d,option_contract_long_hit_5d,option_contract_long_hit_10d,option_contract_long_hit_14d
opt_evt_UHBAW7V8,2026-04-24T09:30:02.267000-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,ask_side_call_activity,bullish_activity,1,long_call,ask_side,9.4,1,8.85,9.4,0.5500000000000007,1.0,65,271.06,-0.01272780934110529,0.03349811849774942,0.0821220394008706,-0.009960894266951903,-0.022098428392237968,0.012137534125286065,0.05961779679775714,-0.022098428392237968,0.0817162251899951,0.08743451634324506,-0.022098428392237968,0.10953294473548303,-0.23780487804878048,0.4695121951219514,1.8841463414634148,2.439024390243903,-0.01272780934110529,0.03349811849774942,0.0821220394008706,0,1,1,1
opt_evt_TL65QD55,2026-04-24T09:36:16.917000-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,ask_side_call_activity,bullish_activity,1,long_call,ask_side,8.0,1,7.8,8.0,0.20000000000000018,1.0,514,271.06,-0.01272780934110529,0.03349811849774942,0.0821220394008706,-0.009960894266951903,-0.022098428392237968,0.012137534125286065,0.05961779679775714,-0.022098428392237968,0.0817162251899951,0.08743451634324506,-0.022098428392237968,0.10953294473548303,-0.23780487804878048,0.4695121951219514,1.8841463414634148,2.439024390243903,-0.01272780934110529,0.03349811849774942,0.0821220394008706,0,1,1,1
opt_evt_PTK8MVTR,2026-04-24T09:40:00.997000-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,ask_side_call_activity,bullish_activity,1,long_call,ask_side,8.15,500,8.1,8.15,0.05000000000000071,1.0,2599,271.06,-0.01272780934110529,0.03349811849774942,0.0821220394008706,-0.009960894266951903,-0.022098428392237968,0.012137534125286065,0.05961779679775714,-0.022098428392237968,0.0817162251899951,0.08743451634324506,-0.022098428392237968,0.10953294473548303,-0.23780487804878048,0.4695121951219514,1.8841463414634148,2.439024390243903,-0.01272780934110529,0.03349811849774942,0.0821220394008706,0,1,1,1
opt_evt_SXJSERZE,2026-04-24T09:48:51.284000-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,ask_side_call_activity,bullish_activity,1,long_call,ask_side,8.35,3,8.2,8.35,0.15000000000000036,1.0,36,271.06,-0.01272780934110529,0.03349811849774942,0.0821220394008706,-0.009960894266951903,-0.022098428392237968,0.012137534125286065,0.05961779679775714,-0.022098428392237968,0.0817162251899951,0.08743451634324506,-0.022098428392237968,0.10953294473548303,-0.23780487804878048,0.4695121951219514,1.8841463414634148,2.439024390243903,-0.01272780934110529,0.03349811849774942,0.0821220394008706,0,1,1,1
opt_evt_Q4WVTWE7,2026-04-24T09:50:29.314000-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,ask_side_call_activity,bullish_activity,1,long_call,ask_side,8.5,10,8.35,8.5,0.15000000000000036,1.0,29,271.06,-0.01272780934110529,0.03349811849774942,0.0821220394008706,-0.009960894266951903,-0.022098428392237968,0.012137534125286065,0.05961779679775714,-0.022098428392237968,0.0817162251899951,0.08743451634324506,-0.022098428392237968,0.10953294473548303,-0.23780487804878048,0.4695121951219514,1.8841463414634148,2.439024390243903,-0.01272780934110529,0.03349811849774942,0.0821220394008706,0,1,1,1
opt_evt_WPW2SRUK,2026-04-24T09:56:04.919000-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,ask_side_call_activity,bullish_activity,1,long_call,ask_side,8.45,1,8.4,8.45,0.049999999999998934,1.0,23,271.06,-0.01272780934110529,0.03349811849774942,0.0821220394008706,-0.009960894266951903,-0.022098428392237968,0.012137534125286065,0.05961779679775714,-0.022098428392237968,0.0817162251899951,0.08743451634324506,-0.022098428392237968,0.10953294473548303,-0.23780487804878048,0.4695121951219514,1.8841463414634148,2.439024390243903,-0.01272780934110529,0.03349811849774942,0.0821220394008706,0,1,1,1
opt_evt_5CZ9R6A9,2026-04-24T10:03:54.867000-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,ask_side_call_activity,bullish_activity,1,long_call,ask_side,8.25,1,8.1,8.25,0.15000000000000036,1.0,75,271.06,-0.01272780934110529,0.03349811849774942,0.0821220394008706,-0.009960894266951903,-0.022098428392237968,0.012137534125286065,0.05961779679775714,-0.022098428392237968,0.0817162251899951,0.08743451634324506,-0.022098428392237968,0.10953294473548303,-0.23780487804878048,0.4695121951219514,1.8841463414634148,2.439024390243903,-0.01272780934110529,0.03349811849774942,0.0821220394008706,0,1,1,1
opt_evt_6D9Y98M5,2026-04-24T10:08:54.216000-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,ask_side_call_activity,bullish_activity,1,long_call,ask_side,8.05,1,7.9,8.05,0.15000000000000036,1.0,30,271.06,-0.01272780934110529,0.03349811849774942,0.0821220394008706,-0.009960894266951903,-0.022098428392237968,0.012137534125286065,0.05961779679775714,-0.022098428392237968,0.0817162251899951,0.08743451634324506,-0.022098428392237968,0.10953294473548303,-0.23780487804878048,0.4695121951219514,1.8841463414634148,2.439024390243903,-0.01272780934110529,0.03349811849774942,0.0821220394008706,0,1,1,1
opt_evt_ZSGX6YPH,2026-04-24T10:10:22.692000-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,ask_side_call_activity,bullish_activity,1,long_call,ask_side,8.05,1,7.95,8.05,0.10000000000000053,1.0,21,271.06,-0.01272780934110529,0.03349811849774942,0.0821220394008706,-0.009960894266951903,-0.022098428392237968,0.012137534125286065,0.05961779679775714,-0.022098428392237968,0.0817162251899951,0.08743451634324506,-0.022098428392237968,0.10953294473548303,-0.23780487804878048,0.4695121951219514,1.8841463414634148,2.439024390243903,-0.01272780934110529,0.03349811849774942,0.0821220394008706,0,1,1,1
opt_evt_TNBPDL3Q,2026-04-24T10:15:28.127000-04:00,AAPL,2026-05-15,CALL,270.0,AAPL 2026-05-15 270C,ask_side_call_activity,bullish_activity,1,long_call,ask_side,8.35,15,8.25,8.35,0.09999999999999964,1.0,43,271.06,-0.01272780934110529,0.03349811849774942,0.0821220394008706,-0.009960894266951903,-0.022098428392237968,0.012137534125286065,0.05961779679775714,-0.022098428392237968,0.0817162251899951,0.08743451634324506,-0.022098428392237968,0.10953294473548303,-0.23780487804878048,0.4695121951219514,1.8841463414634148,2.439024390243903,-0.01272780934110529,0.03349811849774942,0.0821220394008706,0,1,1,1
