target_candidate_id,available_time,available_day,underlying_action_plan_ref,base_action_type,base_action_side,residual_type,residual_direction,realized_underlying_return_after_entry,realized_net_underlying_utility,no_trade_opportunity_cost,residual_severity_score,base_reason_codes,nearby_event_families,nearby_event_sources,layer_1_7_basis
tcand_l03_2016_01_cd052eeaa9b73d65,2016-01-05T09:30:00-05:00,2016-01-05,uap_38947fc4e0a83e35,no_trade,unknown,base_stack_no_trade_missed_move,upside_missed,0.04,0.038,0.04,0.04,,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;supply_chain_disruption,alpaca_news,model_07_underlying_action_evaluation_labels_over_layers_1_7_inputs
tcand_l03_2016_01_3d630916a24f3be6,2016-01-05T09:30:00-05:00,2016-01-05,uap_6ca16c0bd3076576,no_trade,unknown,base_stack_no_trade_missed_move,upside_missed,0.04,0.038,0.04,0.04,,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;supply_chain_disruption,alpaca_news,model_07_underlying_action_evaluation_labels_over_layers_1_7_inputs
tcand_l03_2016_01_cd052eeaa9b73d65,2016-01-05T09:30:00-05:00,2016-01-05,uap_7085b2f402cc8362,no_trade,unknown,base_stack_no_trade_missed_move,upside_missed,0.04,0.038,0.04,0.04,alpha_confidence_marginal;projection_confidence_marginal;position_gap_small;no_new_underlying_operation;5min_projection_dominant,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;supply_chain_disruption,alpaca_news,model_07_underlying_action_evaluation_labels_over_layers_1_7_inputs
tcand_l03_2016_01_786835857ec32bdc,2016-01-05T09:30:00-05:00,2016-01-05,uap_a87804dbe242d6f8,no_trade,unknown,base_stack_no_trade_missed_move,upside_missed,0.04,0.038,0.04,0.04,alpha_confidence_marginal;projection_confidence_marginal;position_gap_small;no_new_underlying_operation;15min_projection_dominant,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;supply_chain_disruption,alpaca_news,model_07_underlying_action_evaluation_labels_over_layers_1_7_inputs
tcand_l03_2016_01_786835857ec32bdc,2016-01-05T09:30:00-05:00,2016-01-05,uap_b52964f02f7b90e4,no_trade,unknown,base_stack_no_trade_missed_move,upside_missed,0.04,0.038,0.04,0.04,,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;supply_chain_disruption,alpaca_news,model_07_underlying_action_evaluation_labels_over_layers_1_7_inputs
tcand_l03_2016_01_3d630916a24f3be6,2016-01-05T09:30:00-05:00,2016-01-05,uap_fde644836ae745f8,no_trade,unknown,base_stack_no_trade_missed_move,upside_missed,0.04,0.038,0.04,0.04,alpha_confidence_marginal;projection_confidence_marginal;position_gap_small;no_new_underlying_operation;390min_projection_dominant,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;supply_chain_disruption,alpaca_news,model_07_underlying_action_evaluation_labels_over_layers_1_7_inputs
tcand_l03_2016_01_3d630916a24f3be6,2016-01-05T15:30:00-05:00,2016-01-05,uap_8ef5b4ed50051d9b,no_trade,unknown,base_stack_no_trade_missed_move,upside_missed,0.04,0.038,0.04,0.04,,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;supply_chain_disruption,alpaca_news,model_07_underlying_action_evaluation_labels_over_layers_1_7_inputs
tcand_l03_2016_01_3d630916a24f3be6,2016-01-05T15:30:00-05:00,2016-01-05,uap_fb2a07b6599a8f03,no_trade,unknown,base_stack_no_trade_missed_move,upside_missed,0.04,0.038,0.04,0.04,alpha_confidence_marginal;projection_confidence_marginal;position_gap_small;no_new_underlying_operation;5min_projection_dominant,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;supply_chain_disruption,alpaca_news,model_07_underlying_action_evaluation_labels_over_layers_1_7_inputs
tcand_l03_2016_01_1d99f6a53d0f351a,2016-01-05T16:00:00-05:00,2016-01-05,uap_497b3caed6294a53,no_trade,unknown,base_stack_no_trade_missed_move,upside_missed,0.04,0.038,0.04,0.04,alpha_confidence_marginal;projection_confidence_marginal;position_gap_small;no_new_underlying_operation;390min_projection_dominant,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;supply_chain_disruption,alpaca_news,model_07_underlying_action_evaluation_labels_over_layers_1_7_inputs
tcand_l03_2016_01_2016_06_b26cdf8dae727181,2016-01-05T16:00:00-05:00,2016-01-05,uap_819790045bae815a,no_trade,unknown,base_stack_no_trade_missed_move,upside_missed,0.04,0.038,0.04,0.04,alpha_confidence_marginal;projection_confidence_marginal;position_gap_small;no_new_underlying_operation;390min_projection_dominant,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;supply_chain_disruption,alpaca_news,model_07_underlying_action_evaluation_labels_over_layers_1_7_inputs
