metric,event_time,release_date,event,reference,actual,expected,expectation_source,consensus,te_forecast,surprise_pp,abs_surprise_pp,direction
core_yoy,2016-01-20T08:30:00-05:00,2016-01-20,Core Inflation Rate YoY,DEC,2.1,2.1,consensus,2.1,2.0,0.0,0.0,inline
cpi_yoy,2016-01-20T08:30:00-05:00,2016-01-20,Inflation Rate YoY,DEC,0.7,0.8,consensus,0.8,0.6,-0.10000000000000009,0.10000000000000009,cooler
core_yoy,2016-02-19T08:30:00-05:00,2016-02-19,Core Inflation Rate YoY,JAN,2.2,2.1,consensus,2.1,2.1,0.10000000000000009,0.10000000000000009,hotter
cpi_yoy,2016-02-19T08:30:00-05:00,2016-02-19,Inflation Rate YoY,JAN,1.4,1.3,consensus,1.3,0.8,0.09999999999999987,0.09999999999999987,hotter
core_yoy,2016-04-14T08:30:00-04:00,2016-04-14,Core Inflation Rate YoY,MAR,2.2,2.3,consensus,2.3,2.3,-0.09999999999999964,0.09999999999999964,cooler
cpi_yoy,2016-04-14T08:30:00-04:00,2016-04-14,Inflation Rate YoY,MAR,0.9,1.1,consensus,1.1,1.1,-0.20000000000000007,0.20000000000000007,cooler
core_yoy,2016-06-16T08:30:00-04:00,2016-06-16,Core Inflation Rate YoY,MAY,2.2,2.2,consensus,2.2,2.1,0.0,0.0,inline
cpi_yoy,2016-06-16T08:30:00-04:00,2016-06-16,Inflation Rate YoY,MAY,1.0,1.1,consensus,1.1,1.2,-0.10000000000000009,0.10000000000000009,cooler
core_yoy,2016-08-16T08:30:00-04:00,2016-08-16,Core Inflation Rate YoY,JUL,2.2,2.3,consensus,2.3,2.0,-0.09999999999999964,0.09999999999999964,cooler
cpi_yoy,2016-08-16T08:30:00-04:00,2016-08-16,Inflation Rate YoY,JUL,0.8,0.9,consensus,0.9,1.0,-0.09999999999999998,0.09999999999999998,cooler
core_yoy,2016-10-18T08:30:00-04:00,2016-10-18,Core Inflation Rate YoY,SEP,2.2,2.3,consensus,2.3,2.3,-0.09999999999999964,0.09999999999999964,cooler
cpi_yoy,2016-10-18T08:30:00-04:00,2016-10-18,Inflation Rate YoY,SEP,1.5,1.5,consensus,1.5,1.3,0.0,0.0,inline
core_yoy,2016-12-15T08:30:00-05:00,2016-12-15,Core Inflation Rate YoY,NOV,2.1,2.2,consensus,2.2,2.2,-0.10000000000000009,0.10000000000000009,cooler
cpi_yoy,2016-12-15T08:30:00-05:00,2016-12-15,Inflation Rate YoY,NOV,1.7,1.7,consensus,1.7,1.6,0.0,0.0,inline
core_yoy,2017-01-18T08:30:00-05:00,2017-01-18,Core Inflation Rate YoY,DEC,2.2,2.2,consensus,2.2,2.1,0.0,0.0,inline
cpi_yoy,2017-01-18T08:30:00-05:00,2017-01-18,Inflation Rate YoY,DEC,2.1,2.1,consensus,2.1,1.9,0.0,0.0,inline
core_yoy,2017-02-15T08:30:00-05:00,2017-02-15,Core Inflation Rate YoY,JAN,2.3,2.1,consensus,2.1,2.1,0.19999999999999973,0.19999999999999973,hotter
cpi_yoy,2017-02-15T08:30:00-05:00,2017-02-15,Inflation Rate YoY,JAN,2.5,2.4,consensus,2.4,2.2,0.10000000000000009,0.10000000000000009,hotter
core_yoy,2017-03-15T07:30:00-04:00,2017-03-15,Core Inflation Rate YoY,FEB,2.2,2.2,consensus,2.2,2.3,0.0,0.0,inline
