subset,n,release_dates,symbols,mean_ret_delta,median_ret_delta,positive_ret_delta_share,mean_abs_delta,positive_abs_delta_share,mean_path_delta,corr_cpi_mom_surprise_ret,corr_core_mom_surprise_ret,corr_cpi_yoy_surprise_ret,corr_core_yoy_surprise_ret
all_h1,216,18,12,0.0006189910183721103,0.001000877967694789,0.5740740740740741,-0.0010490001577421215,0.4027777777777778,-0.0002005254566225683,,,0.06198470091893747,-0.06373064183706273
large_surprise_0_1pp_h1,144,12,12,-0.000622971022608524,0.0004953051316989968,0.5347222222222222,-0.0018762874787586117,0.3611111111111111,2.925343879564405e-05,,,-0.030348865996920913,-0.1523749836710094
not_large_surprise_0_1pp_h1,72,6,12,0.003102915100333379,0.003185599748875733,0.6527777777777778,0.0006055744842908587,0.4861111111111111,-0.0006600832474589931,,,0.14064143421561437,0.09721966352282857
large_surprise_0_2pp_h1,24,2,12,0.0022324352663783513,0.001324730860962507,0.5416666666666666,-0.002362233309217122,0.375,-0.0035391810027886428,,,-0.6714436431032044,-0.6714436431032045
hotter_surprise_h1,36,3,12,-0.0011568251639738957,-0.0009413191291938461,0.4444444444444444,-0.0034690579561489567,0.25,-0.0024659978918028683,,,0.18719171658606384,0.1873744318238875
cooler_surprise_h1,156,13,12,0.00010741977492235691,0.001000877967694789,0.5641025641025641,-0.0011760249873037465,0.40384615384615385,0.00014642539529348745,,,0.04906570887304342,-0.1819011375635912
all_h5,216,18,12,0.0008528865970551627,0.0009196231203449898,0.5138888888888888,-0.002794264571799581,0.38425925925925924,-0.001848928428288733,,,0.033382402073198085,0.13397497444087036
large_surprise_0_1pp_h5,144,12,12,0.00013125477773801668,-0.0010642275376271737,0.4722222222222222,-0.0038500481464932433,0.3194444444444444,-0.0012536073287241567,,,0.053991054360754,0.16942737070362185
not_large_surprise_0_1pp_h5,72,6,12,0.0022961502356894548,0.0036888159463348176,0.5972222222222222,-0.0006826974224122566,0.5138888888888888,-0.0030395706274178856,,,-0.07727145251003248,-0.04803840945638837
large_surprise_0_2pp_h5,24,2,12,0.004848909874822058,0.007532576828304655,0.75,0.0006060187304653497,0.5416666666666666,0.0034742397583347726,,,0.23056734984146857,0.23056734984146854
hotter_surprise_h5,36,3,12,-0.00021531129130459653,0.0028877871897668166,0.6111111111111112,-0.0028820807692152826,0.4722222222222222,-0.0042691193593704345,,,-0.15611787990484932,-0.15627026440174663
cooler_surprise_h5,156,13,12,0.0013952338687916435,-6.941366195002273e-05,0.5,-0.003577832394053672,0.3333333333333333,-0.0016932315577283172,,,-0.06421309799076078,0.1535695498159921
all_h10,216,18,12,0.002305235050402866,0.00022115232863366028,0.5092592592592593,-0.0009737757705791855,0.44907407407407407,-1.650482889963874e-05,,,0.08463524688943708,0.2000176216231941
large_surprise_0_1pp_h10,144,12,12,0.003113202108726535,0.00011929113875899181,0.5069444444444444,-0.0003780136713663333,0.4861111111111111,0.0007398042236819507,,,0.1533705925026557,0.23746645458822654
not_large_surprise_0_1pp_h10,72,6,12,0.0006893009337555285,0.0005331841528083891,0.5138888888888888,-0.00216529996900489,0.375,-0.0015291229340628177,,,-0.04019908997708537,0.14132306712974668
large_surprise_0_2pp_h10,24,2,12,0.011453740875635918,0.010761864456871745,0.6666666666666666,0.007442933714302154,0.75,0.0062752629215295525,,,0.12732103964504174,0.12732103964504177
hotter_surprise_h10,36,3,12,0.005513339590767067,0.005378823323736603,0.6666666666666666,0.005633798097813352,0.6666666666666666,0.001339162569897828,,,-0.15925833350916796,-0.1594137833592635
cooler_surprise_h10,156,13,12,0.0018810829646002064,-0.00046941544594241054,0.47435897435897434,-0.002348538908229759,0.3974358974358974,-0.0016673655749032624,,,-0.182866959083939,0.10851851297264631
